Start Day UTC,Start time Pacific,Start time UTC,Minutes,Session name,Session type,Room,Retrieved,Confirmed,Filename
"31 July, 2022",4:00:00 PM,11:00:00 PM,60,Teaching tips and tricks,Lightning Presentations,Room2,TRUE,TRUE,"Room2-Jul 31, 2022 3:32 PM.csv"
"1 August, 2022",5:15:00 PM,12:15:00 AM,45,Australia / New Zealand Communities,Informal Meetup,Room2,TRUE,TRUE,"Room2-Jul 31, 2022 3:32 PM.csv"
"1 August, 2022",12:00:00 AM,7:00:00 AM,30,Conference Welcome,Conference Welcome,Room2,TRUE,TRUE,"Room2-Jul 31, 2022 11:25 PM.csv"
"1 August, 2022",12:30:00 AM,7:30:00 AM,50,Data literacy - the key to a broad adaptation of Open Science and the FAIR principles,Keynote,Room2,TRUE,TRUE,"Room2-Jul 31, 2022 11:25 PM.csv"
"1 August, 2022",1:30:00 AM,8:30:00 AM,60,Teaching tips and tricks,Lightning Presentations,Room2,TRUE,TRUE,"Room2-Jul 31, 2022 11:25 PM.csv"
"1 August, 2022",7:00:00 AM,2:00:00 PM,30,Conference Welcome,Conference Welcome,Room2,TRUE,TRUE,"Room2-Aug 01, 2022 6:28 AM.csv"
"1 August, 2022",7:30:00 AM,2:30:00 PM,50,Logrando el cambio que queremos de a una conferencia a la vez / Achieving the change we want one conference at a time,Keynote,Room2,TRUE,TRUE,"Room2-Aug 01, 2022 6:28 AM.csv"
"1 August, 2022",8:30:00 AM,3:30:00 PM,60,A Conversation with The Carpentries Core Team,Informal Meetup,Room2,TRUE,TRUE,"Room2-Aug 01, 2022 6:28 AM.csv"
"1 August, 2022",10:00:00 AM,5:00:00 PM,120,HPC Workflows with Snakemake,Sprint,Room2,TRUE,TRUE,"Room2-Aug 01, 2022 6:28 AM.csv"
"1 August, 2022",3:00:00 PM,10:00:00 PM,60,Organising a workshop,Lightning Presentations,Room2,TRUE,TRUE,"Room2-Aug 01, 2022 2:47 PM.csv"
"1 August, 2022",4:10:00 PM,11:10:00 PM,20,Conference Welcome,Conference Welcome,Room2,TRUE,TRUE,"Room2-Aug 01, 2022 3:57 PM.csv"
"1 August, 2022",4:30:00 PM,11:30:00 PM,90,The CARE Principles for Indigenous Data Governance: Their importance and how they are being applied,Keynote,Room2,TRUE,TRUE,"Room2-Aug 01, 2022 3:57 PM.csv"
