Country,Position,Position-Other,Field,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,How-Many-Workshops,How-Long-Ago,Content,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Behaviors-Adopted,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Programming-Usage-Before-Workshop,Programming-Usage-Since-Workshop,Change-In-Confidence,How-Tools-Learned-Help,Column34,Column35,Column36,Column37,Column38,Contributed-To-Writing,Skills-Advance-Career,Motivated-Seek-Knowledge,Made-Analyses-Reproducible,Received-Professional-Recognition,Improved Coding Practices,Improved-Research-Productivity,Gained-Confidence-With-Data,Carpentry-Involvement,Column45,Column46,Column47,Column48,Column49,Column50,Column51,Column52,Activities,Column53,Column54,Column55,Column56,Column57,Column58,Recommended,Likely-To-Recommend
Norway,Graduate Student,,,Biomedical/Health Sciences,,,,,,,Life Sciences,,,,Neuroscience,3+,0-6 months ago,,Git,,,,Python,R,,SQL,Unix Shell,,"One course on working in our local computer cluster, and one on open science",Improving data management and project organization.,,"Using databases, scripts and queries to manage large data sets.",Transforming step-by-step workflows into scripts or functions.,"Using programming languages like R or Python, or the command line to automate repetitive tasks.",Reusing code.,,,Sharing code or data publicly on places like GitHub or FigShare.,,Monthly.,Daily.,I'm more confident now.,They are improving my overall efficiency.,,They are improving my ability to manage data.,,,,Yes.,Agree,Strongly agree,Agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Subscribed to the newsletter.,,,,,,,,,,,,,,Used non-Carpentry self-guided material.,,Yes.,10
Norway,Academic Research Staff,,,,,,Earth Sciences,,,,,,,,,1,0-6 months ago,,Git,,,,,,,,,,,,,,,,,,Using version control to collaborate online (in public or private repositories).,Sharing code or data publicly on places like GitHub or FigShare.,,Weekly.,Weekly.,I'm more confident now.,They are improving my overall efficiency.,,,,,,Not sure.,Agree,Agree,Neutral,Neutral,Agree,Neutral,Agree,Subscribed to the newsletter.,,,,,,,,,Participated in an in-person short course.,,,,Used self-guided Carpentry lesson material.,,,Yes.,8
Norway,Graduate Student,,,Biomedical/Health Sciences,,,,Engineering,,,,,,,,1,More than 1 year ago,,,,,,Python,,,,Unix Shell,,,,,,,,,,,,,Several times per year.,Several times per year.,I'm more confident now.,,,,,,The UNIX shell commands are helpful in some cases.,No.,Disagree,Agree,Agree,Strongly disagree,Disagree,Disagree,Neutral,Subscribed to the newsletter.,,,,,,,,,,,,,,Used non-Carpentry self-guided material.,,I don't remember.,6
Norway,Graduate Student,,,,,,,,,,Life Sciences,,,,,1,0-6 months ago,,Git,,,,,R,,,Unix Shell,,,,Developing a data management and analysis plan.,,Transforming step-by-step workflows into scripts or functions.,"Using programming languages like R or Python, or the command line to automate repetitive tasks.",Reusing code.,,,Sharing code or data publicly on places like GitHub or FigShare.,,I had not been using tools like these.,Monthly.,I'm more confident now.,They are improving my overall efficiency.,,They are improving my ability to manage data.,,,,Yes.,Strongly agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Subscribed to the newsletter.,,,,,,,,,,,,Participated in a semester long course.,,Used non-Carpentry self-guided material.,,Yes.,10
Norway,Graduate Student,,,,,,Earth Sciences,,,,,,,,,1,0-6 months ago,,,,,,,R,,,,,,,,,,"Using programming languages like R or Python, or the command line to automate repetitive tasks.",Reusing code.,,,,,Less than once per year.,Weekly.,I'm equally confident now.,,They are improving my ability to analyze data.,,,,,No.,Neutral,Strongly agree,Neutral,Neutral,Neutral,Neutral,Neutral,,,,,,,,,I signed up to our email announcements regarding swcarpentry,,,,,,Used non-Carpentry self-guided material.,,Yes.,7
Norway,Postdoc,,,,,,,,,,Life Sciences,,,,,2,6 months - 1 year ago,,Git,,,,Python,R,,,,,,Improving data management and project organization.,,,,"Using programming languages like R or Python, or the command line to automate repetitive tasks.",Reusing code.,,,,,I had not been using tools like these.,Monthly.,I'm more confident now.,They are improving my overall efficiency.,They are improving my ability to analyze data.,They are improving my ability to manage data.,,,,Not sure.,Neutral,Agree,Agree,Neutral,Agree,Agree,Strongly agree,,,,,,,,,,,,,,,,,Yes.,9
Norway,Postdoc,,Agricultural or Environmental Sciences,,,,,,,,Life Sciences,,,,,3+,0-6 months ago,,Git,,,,Python,R,,,Unix Shell,,Make ,,,,Transforming step-by-step workflows into scripts or functions.,"Using programming languages like R or Python, or the command line to automate repetitive tasks.",Reusing code.,Using version control to manage code.,Using version control to collaborate online (in public or private repositories).,Sharing code or data publicly on places like GitHub or FigShare.,,Daily.,Weekly.,I'm equally confident now.,They are improving my overall efficiency.,They are improving my ability to analyze data.,They are improving my ability to manage data.,,,,Not sure.,Agree,Agree,Neutral,Agree,Neutral,Neutral,Agree,Subscribed to the newsletter.,,Became a workshop helper.,,,,,Contributed to a Carpentry lesson.,,,Participated in an online short course.,,,Used self-guided Carpentry lesson material.,,,Yes.,8
Norway,Other Academic Staff,Research Software Engineer,Agricultural or Environmental Sciences,,,Computer Science,Earth Sciences,,,,,,,,,2,More than 1 year ago,,Git,,,,Python,R,,,Unix Shell,,,,,,,,,,,Sharing code or data publicly on places like GitHub or FigShare.,,Daily.,Daily.,I'm more confident now.,,They are improving my ability to analyze data.,,,,,No.,Neutral,Strongly agree,Agree,Disagree,Agree,Agree,Agree,,,,Became a Carpentry instructor.,,,,Contributed to a Carpentry lesson.,organize other (non Carpentry) workshops for teaching subjects not covered by SWC or DC,,Participated in an online short course.,,,,Used non-Carpentry self-guided material.,,Yes.,10
Norway,Graduate Student,,,,,,,,,,Life Sciences,,,,,2,0-6 months ago,,,,,,,R,,,Unix Shell,,,,,"Using databases, scripts and queries to manage large data sets.",,"Using programming languages like R or Python, or the command line to automate repetitive tasks.",,,,,,Weekly.,Daily.,I'm more confident now.,They are improving my overall efficiency.,,,,,,Not sure.,Agree,Strongly agree,Neutral,Neutral,Agree,Neutral,Neutral,Subscribed to the newsletter.,,,,,,,,,,,,,,,,Yes.,7
Norway,Industry,,,,,,,,Humanities,,,,,,,2,0-6 months ago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
