slug,start,end,fullname,agreement_start,agreement_end
2016-02-17-UCL_software_carpentry,2016-02-17,2016-02-18,University College London,2016-02-01,2019-01-31
2016-06-22-UCL_software_carpentry,2016-06-22,2016-06-23,University College London,2016-02-01,2019-01-31
2016-09-22-UCL_software_carpentry,2016-09-22,2016-09-23,University College London,2016-02-01,2019-01-31
2016-11-10-uclhep,2016-11-10,2016-11-11,University College London,2016-02-01,2019-01-31
2016-12-13-UCL_software_carpentry,2016-12-13,2016-12-14,University College London,2016-02-01,2019-01-31
2017-04-27-UCL_software_carpentry,2017-04-27,2017-04-28,University College London,2016-02-01,2019-01-31
2017-04-27-london,2017-04-27,2017-04-28,University College London,2016-02-01,2019-01-31
2017-07-25-UCL_software_carpentry,2017-07-26,2017-07-26,University College London,2016-02-01,2019-01-31
2017-08-09-lc-tucson,2017-08-09,2017-08-14,University of Arizona,2017-07-15,2018-07-17
2017-08-17-umswc-hg,2017-08-17,2017-08-18,University of Michigan,2017-07-15,2018-07-15
2017-08-26-Tucson,2017-08-26,2017-08-27,University of Arizona,2017-07-15,2018-07-17
2017-09-04-ttt-manchester,2017-09-04,2017-09-04,University of Manchester,2017-06-01,2020-12-30
2017-09-09-hlt-workshop,2017-09-09,2017-09-10,University of Arizona,2017-07-15,2018-07-17
2017-09-11-cambridge,2017-09-11,2017-09-12,University of Cambridge,2017-08-01,2018-08-01
2017-09-25-UCL_software_carpentry,2017-09-25,2017-09-26,University College London,2016-02-01,2019-01-31
2017-09-30-TDWG-Ottawa,2017-09-30,2017-10-01,University of Florida,2017-08-15,2018-08-15
2017-10-02-uw,2017-10-02,2017-10-05,University of Washington,2017-08-15,2018-08-15
2017-10-16-Monsanto-ttt,2017-10-16,2017-10-17,Monsanto,2015-11-30,2018-11-30
2017-10-16-umswc,2017-10-16,2017-10-16,University of Michigan,2017-07-15,2018-07-15
2017-10-24-ARC-16S,2017-10-24,2017-10-27,North-West University,2017-08-15,2018-08-15
2017-10-30-iDigBio-Summit-UFII,2017-10-30,2017-10-31,University of Florida,2017-08-15,2018-08-15
2017-10-31-UCL_software_carpentry,2017-10-31,2017-11-01,University College London,2016-02-01,2019-01-31
2017-11-01-NWU-Mafikeng,2017-11-01,2017-11-03,North-West University,2017-08-15,2018-08-15
2017-11-03-gwu-R,2017-11-03,2017-11-04,George Washington University,2017-09-01,2018-09-01
2017-11-06-manchester,2017-11-06,2017-11-07,University of Manchester,2017-06-01,2020-12-30
2017-11-09-uclhep,2017-11-09,2017-11-10,University College London,2016-02-01,2019-01-31
2017-11-20-ou,2017-11-20,2017-11-21,University of Oklahoma,2017-09-01,2018-09-01
2017-11-30-NWU-IT,2017-11-30,2017-12-01,North-West University,2017-08-15,2018-08-15
2017-12-01-gwu-Python,2017-12-01,2017-12-02,George Washington University,2017-09-01,2018-09-01
2017-12-02-UCSF-Python,2017-12-02,2017-12-03,University of California San Francisco,2017-10-15,2018-10-15
2017-12-02-UCSF-R,2017-12-02,2017-12-03,University of California San Francisco,2017-10-15,2018-10-15
2017-12-07-Monsanto,2017-12-07,2017-12-08,Monsanto,2015-11-30,2018-11-30
2017-12-12-MQU-R,2017-12-12,2017-12-13,Macquarie University,2017-11-15,2018-11-15
2017-12-14-MAN-SS-PILOT01,2017-12-14,2017-12-15,University of Manchester,2017-06-01,2020-12-30
2017-12-14-UCL_software_carpentry,2017-12-14,2017-12-15,University College London,2016-02-01,2019-01-31
2017-12-18-osu,2017-12-18,2017-12-19,Oklahoma State University,2017-12-01,2018-12-01
2017-12-18-umich,2017-12-18,2017-12-19,University of Michigan,2017-07-15,2018-07-15
2018-01-03-davis,2018-01-03,2018-01-04,University of California Davis,2018-01-01,2019-01-01
2018-01-08-okstate,2018-01-08,2018-01-09,Oklahoma State University,2017-12-01,2018-12-01
2018-01-08-uw,2018-01-08,2018-01-11,University of Washington,2017-08-15,2018-08-15
2018-01-10-ou,2018-01-10,2018-01-11,University of Oklahoma,2017-09-01,2018-09-01
2018-01-11-oxford,2018-01-11,2018-01-11,University of Oxford,2017-10-15,2018-10-15
