first_survey_take,workshop_attended_amount,workshop_attended_age,workshop_attended_type,workshop_attended_location,workshop_attended_content,behavior_adopted,frequency_usage_before,frequency_usage_after,change_confidence,how_tools_help,workshop_contributed_academics,workshop_contributed_academics_open,topics_another_workshop_open,impact_career_advancement,impact_motivation_learning,impact_increase_reproducibility,impact_professional_recognition,impact_improve_coding_practice,impact_research_productivity,impact_increase_confidence,impact_open,workshop_country,community_involvement,other_activities,has_recommended,recommendation_score,outcomes_open,dont_use_skills_open,additional_comments_open
Yes,1,More than 1 year ago,Software Carpentry,NA,Git;Python;R;SQL;Unix Shell,"Using databases, scripts and queries to manage large data sets;Using programming languages like R or Python, or the command line to automate repetitive tasks;Using version control to manage code;Using version control to collaborate online (in public or private repositories);Sharing code or data publicly on places like GitHub or FigShare",Monthly,Daily,I'm more confident now,They are improving my overall efficiency;They are improving my ability to manage data;The tools I learned have not helped me with my work,Yes,NA,NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,NA,South Korea,Subscribed to the newsletter;Became a workshop helper;Became a Carpentry instructor;Contributed to a Carpentry lesson,Used self-guided Carpentry lesson material,Yes,10,NA,NA,NA
Yes,3+,0-6 months ago,Data Carpentry,UIO,SQL,"Improving data management and project organization;Using databases, scripts and queries to manage large data sets;Using programming languages like R or Python, or the command line to automate repetitive tasks;Reusing code",Monthly,Weekly,I'm more confident now,They are improving my ability to analyze data;They are improving my ability to manage data,Yes,Using Rstudio in data analyses included in research articles,"More R, Python, Stata",Agree,Strongly agree,Neutral,Disagree,Agree,Agree,Strongly agree,"Increased awareness of tools, possibilites and limitations",Norway,Subscribed to the newsletter,Participated in a Meetup,Yes,10,NA,NA,NA
Yes,1,0-6 months ago,Data Carpentry,University of Wisconsin--Madison,OpenRefine;R;Spreadsheets;SQL,"Improving data management and project organization;Developing a data management and analysis plan;Using databases, scripts and queries to manage large data sets;Transforming step-by-step workflows into scripts or functions;Using programming languages like R or Python, or the command line to automate repetitive tasks;Reusing code;Using version control to manage code;Using version control to collaborate online (in public or private repositories);Sharing code or data publicly on places like GitHub or FigShare",Daily,Daily,I'm more confident now,They are improving my overall efficiency;They are improving my ability to analyze data;They are improving my ability to manage data;The tools I learned have not helped me with my work,Yes,Helped me learn to manage my work and comment code for reference in the research writeup process,NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,NA,United States,NA,NA,Yes,9,NA,NA,NA
Yes,1,0-6 months ago,Data Carpentry,UW-Madison,Python,NA,Several times per year,I have not been using tools like these,I'm equally confident now,I am not using the tools I learned,No,NA,NA,Disagree,Agree,Neutral,Neutral,Neutral,Neutral,Agree,NA,United States,NA,NA,Yes,9,NA,NA,NA
No,3+,More than 1 year ago,Software Carpentry,Washington DC,Git;Python;Unix Shell,"Using programming languages like R or Python, or the command line to automate repetitive tasks;Reusing code;Using version control to manage code;Using version control to collaborate online (in public or private repositories);Sharing code or data publicly on places like GitHub or FigShare",Weekly,Weekly,I'm equally confident now,They are improving my overall efficiency;They are improving my ability to analyze data;They are improving my ability to manage data,No,NA,NA,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Disagree,Disagree,Disagree,I am now using the carpentries format to teach courses,United States,Attended at least one community call;Became a workshop helper;Became a Carpentry instructor;Contributed to a Carpentry lesson,NA,Yes,10,NA,NA,NA
Yes,1,More than 1 year ago,Data Carpentry,NA,Git;OpenRefine;R;SQL;I don't remember,Reusing code,Less than once per year,Less than once per year,I'm equally confident now,They are improving my ability to manage data,Not sure,NA,NA,Disagree,Agree,Neutral,Disagree,Neutral,Neutral,Neutral,NA,United States,Attended at least one community call,Participated in an in-person short course;Participated in a Meetup,Yes,7,NA,NA,NA
Yes,2,6 months - 1 year ago,Software Carpentry,WID - UW-Madison,Git;Python;Unix Shell;I don't remember,NA,I had not been using tools like these,Monthly,I'm more confident now,They are improving my ability to analyze data,No,NA,NA,Disagree,Strongly agree,Neutral,Disagree,Neutral,Disagree,Agree,Introduced me to the concepts,United States,Became a workshop helper;Joined a mentoring group,Participated in a Meetup;Used non-Carpentry self-guided material,Yes,10,"I've started a path to learning python, but at a slower pace",NA,"It was a thoughtful and big learning experience.  Perhaps too big for my brain unfortunately.  I started to get brain melt by the end of day 1 and was quite discouraged.  I have since started on a slower, easier path to learning Python"
No,3+,0-6 months ago,Data Carpentry,OSU,Git;OpenRefine;Python;R;Spreadsheets;SQL,"Improving data management and project organization;Using databases, scripts and queries to manage large data sets",I had not been using tools like these,Less than once per year,I'm more confident now,They are improving my overall efficiency;They are improving my ability to analyze data;They are improving my ability to manage data,Not sure,NA,GIS,Strongly agree,Strongly disagree,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Developed computing skills and learned the basics relating to computing softwares that clarified their functioning. feel more confident and comfortable using the various computing tools which seemed a daunting task to me previously. Now I am more motivated to upgrade my level and seek to master other computing program,United States,Became a workshop helper,Participated in a Meetup,Yes,10,NA,Waiting on data,NA
Yes,2,0-6 months ago,Data Carpentry,UW-Madison,R;GeoSpatial,"Improving data management and project organization;Developing a data management and analysis plan;Using programming languages like R or Python, or the command line to automate repetitive tasks",Weekly,Weekly,I'm equally confident now,They are improving my overall efficiency;They are improving my ability to manage data,Not sure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,United States,NA,NA,NA,NA,NA,NA,NA
I don't know,2,6 months - 1 year ago,Software Carpentry,UW-Madison,Git;MATLAB;Python;Unix Shell,"Improving data management and project organization;Using databases, scripts and queries to manage large data sets;Transforming step-by-step workflows into scripts or functions;Using programming languages like R or Python, or the command line to automate repetitive tasks;Reusing code;Using version control to collaborate online (in public or private repositories)",Weekly,Daily,I'm more confident now,They are improving my overall efficiency;They are improving my ability to analyze data;They are improving my ability to manage data;The tools I learned have not helped me with my work,Yes,I use R to analyze several datasets and create figures. I'm also learning how to use R Markdown to present my data,"Learning R popular packages (unless that's covered in the Data Carpentries?), how to manage projects, how to troubleshoot problems on your own",Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Strongly agree,"As a new grad student when I took this workshop, I've learned many new and good practices for coding, such as version control (though I'm still working on this skill) and utilizing the Unix shell to run R scripts",United States,Subscribed to the newsletter,Participated in a semester long course;Used self-guided Carpentry lesson material,Yes,10,NA,NA,NA
