domain,occupation
NA,NA
Agricultural or Environmental Sciences;Life Sciences,Faculty
Social Sciences,Graduate Student
Life Sciences,Postdoc
Social Sciences,Faculty
Physical Sciences,Academic Research Staff
Business,Other Academic Staff;IT Manager
Humanities;Social Sciences,Faculty
Physical Sciences,Graduate Student
Agricultural or Environmental Sciences,Academic Research Staff
Biomedical/Health Sciences,Undergraduate Student
Computer Science;Engineering;Physical Sciences,Faculty
Agricultural or Environmental Sciences;Earth Sciences;Physical Sciences;Chemistry,Postdoc
Life Sciences,Postdoc
Biomedical/Health Sciences;Library Sciences;Mathematics or Statistics;Social Sciences,Academic Research Staff
Library Sciences;Physical Sciences,Faculty
Biomedical/Health Sciences;Life Sciences,Postdoc
NA,NA
Life Sciences,Postdoc
Life Sciences,Industry
NA,NA
Agricultural or Environmental Sciences;Life Sciences,Academic Research Staff
Social Sciences,Postdoc
Life Sciences,Postdoc
Biomedical/Health Sciences;Life Sciences,Postdoc
Mathematics or Statistics;Social Sciences,Graduate Student
Physical Sciences,Academic Research Staff
Physical Sciences,Faculty
Biomedical/Health Sciences,Graduate Student
Biomedical/Health Sciences;Social Sciences,Academic Research Staff
Library Sciences,Other Academic Staff;Librarian
Agricultural or Environmental Sciences;Computer Science,Faculty
Agricultural or Environmental Sciences,Graduate Student
Earth Sciences,Graduate Student
Physical Sciences,Graduate Student
Agricultural or Environmental Sciences,Graduate Student
Biomedical/Health Sciences;Engineering,Graduate Student
Earth Sciences,Other Academic Staff;Research Software Engineer
Agricultural or Environmental Sciences;Biomedical/Health Sciences;Computer Science,Graduate Student
Agricultural or Environmental Sciences,Graduate Student
Biomedical/Health Sciences,Faculty
NA,NA
NA,NA
NA,NA
Biomedical/Health Sciences,Graduate Student;PhD
Agricultural or Environmental Sciences,Postdoc
Mathematics or Statistics,Undergraduate Student
Life Sciences,Graduate Student
Biomedical/Health Sciences,Postdoc
Biomedical/Health Sciences,Postdoc
ecology,Graduate Student
Biomedical/Health Sciences,Academic Research Staff
Biomedical/Health Sciences,Postdoc
Health services/community research,Academic Research Staff
Life Sciences;Social Sciences;Epidemiology,Graduate Student
Biomedical/Health Sciences,Graduate Student
IT administration,Library digital developer
Social Sciences,Undergraduate Student
Biomedical/Health Sciences;Engineering,Graduate Student
Medicine,Undergraduate Student
Earth Sciences,Postdoc
Engineering,Other Academic Staff
Life Sciences,Postdoc
Agricultural or Environmental Sciences;Life Sciences,Industry
Biomedical/Health Sciences;Mathematics or Statistics,Faculty
Agricultural or Environmental Sciences;Life Sciences,Graduate Student
Biomedical/Health Sciences;Life Sciences,Graduate Student
Humanities,Faculty
Computer Science,Academic Research Staff
Agricultural or Environmental Sciences,Academic Research Staff
Life Sciences,Graduate Student
NA,NA
Social Sciences,Graduate Student
Biomedical/Health Sciences,Academic Research Staff
Humanities;Life Sciences,Industry
Art and Design,Faculty
Computer Science;Mathematics or Statistics;Physical Sciences,Graduate Student
Library Sciences,Other Academic Staff;Librarian
Agricultural or Environmental Sciences,Postdoc
Biomedical/Health Sciences,Faculty
Social Sciences,Graduate Student
Biomedical/Health Sciences,Graduate Student
NA,NA
Life Sciences;Mathematics or Statistics;Quantitative Ecology,Postdoc
Biomedical/Health Sciences,Postdoc
Computer Science;Library Sciences,Other Academic Staff
Earth Sciences,Graduate Student
Library Sciences,Other Academic Staff;Librarian
Computer Science;Engineering;Mathematics or Statistics;Physical Sciences;Social Sciences,Academic Research Staff
Engineering,Academic Research Staff
Humanities,Graduate Student
Agricultural or Environmental Sciences;Computer Science;Mathematics or Statistics,Graduate Student
NA,NA
Life Sciences,Technical staff
Humanities,Other Academic Staff;Research Data Advisor and Workshop Instructor
Social Sciences,Graduate Student
Agricultural or Environmental Sciences,Undergraduate Student
Computer Science;Life Sciences,Graduate Student
Business,Industry
Life Sciences,Graduate Student
Biomedical/Health Sciences,Graduate Student
Life Sciences,Graduate Student
Mathematics or Statistics,Undergraduate Student
Biomedical/Health Sciences;Computer Science;Engineering,Graduate Student
Agricultural or Environmental Sciences;Biology/ecology,Graduate Student
Life Sciences,Graduate Student
Agricultural or Environmental Sciences,Academic Research Staff
Life Sciences,Industry
Agricultural or Environmental Sciences,Graduate Student
Mathematics or Statistics,Undergraduate Student
Biomedical/Health Sciences;Library Sciences,Other Academic Staff;Senior academic librarian
Agricultural or Environmental Sciences;Life Sciences,Postdoc
Agricultural or Environmental Sciences;Earth Sciences;Life Sciences,Graduate Student
Earth Sciences,Academic Research Staff
Life Sciences,Industry
Research support,Other Academic Staff
NA,NA
Biomedical/Health Sciences;Life Sciences,Academic Research Staff
Life Sciences,Academic Research Staff
Business;Computer Science;Library Sciences,Academic Research Staff
Physical Sciences,Graduate Student
Planetary Science,Academic Research Staff
Earth Sciences,Industry
Biomedical/Health Sciences;Life Sciences,Faculty
Agricultural or Environmental Sciences;Life Sciences,Postdoc
NA,NA
Earth Sciences,Industry
Biomedical/Health Sciences,Faculty
Engineering,Graduate Student
Earth Sciences,Government research staff
Biomedical/Health Sciences;Computer Science;Mathematics or Statistics,Graduate Student
Social Sciences,Other Academic Staff;University librarian
Humanities;Social Sciences,Graduate Student
Library Sciences;Social Sciences,Academic Research Staff
Biomedical/Health Sciences;Computer Science;Mathematics or Statistics,Temporary unemployed
Earth Sciences,Academic Research Staff
Biomedical/Health Sciences,Faculty
Life Sciences,Postdoc
Engineering,Graduate Student
Social Sciences;Linguistics,Graduate Student
Agricultural or Environmental Sciences;Life Sciences,"Post-Bacc, pre-grad student"
Social Sciences,Undergraduate Student
Biomedical/Health Sciences;Mathematics or Statistics,Faculty
Biomedical/Health Sciences,Graduate Student
Computer Science,Industry
Agricultural or Environmental Sciences;Citizen Science,State Government Research Staff
NA,NA
Agricultural or Environmental Sciences;Biomedical/Health Sciences;Earth Sciences;Mathematics or Statistics;Social Sciences,Academic Research Staff
Higher Education Administration,Other Academic Staff
Biomedical/Health Sciences,Other Academic Staff;Forskerlinjestudent
Business,Faculty
Life Sciences,Postdoc
Computer Science;Physical Sciences,Graduate Student
Biomedical/Health Sciences;Life Sciences,Academic Research Staff
Biomedical/Health Sciences,Graduate Student
Biomedical/Health Sciences;Computer Science;Life Sciences,Academic Research Staff
Biomedical/Health Sciences,Academic Research Staff
Engineering;Physical Sciences,Graduate Student
Life Sciences,Graduate Student
Biomedical/Health Sciences,Academic Research Staff
NA,NA
Biomedical/Health Sciences,Postdoc
Agricultural or Environmental Sciences;Life Sciences,Graduate Student
NA,NA
Biomedical/Health Sciences;Computer Science;Life Sciences;Mathematics or Statistics,Other Academic Staff
Agricultural or Environmental Sciences,Graduate Student
Life Sciences,Graduate Student
Earth Sciences,Graduate Student
Biomedical/Health Sciences;Life Sciences,Graduate Student
Humanities,Academic Research Staff
Biomedical/Health Sciences,Academic Research Staff
Business,Graduate Student
Agricultural or Environmental Sciences,Graduate Student
Social Sciences,Industry
Biomedical/Health Sciences,Graduate Student
Biomedical/Health Sciences,Graduate Student
