domain,occupation
Earth Sciences,Other Academic Staff;Research Software Engineer
Library Sciences,Other Academic Staff;Librarian
Physical Sciences,Graduate Student
Agricultural or Environmental Sciences,Graduate Student
Life Sciences,Industry
Biomedical/Health Sciences,Graduate Student
Humanities;Social Sciences,Graduate Student
Physical Sciences,Academic Research Staff
Biomedical/Health Sciences,Faculty
Life Sciences,Postdoc
Agricultural or Environmental Sciences;Earth Sciences;Life Sciences,Graduate Student
Life Sciences,Graduate Student
Biomedical/Health Sciences;Social Sciences,Academic Research Staff
Biomedical/Health Sciences,Academic Research Staff
Research support,Other Academic Staff
Physical Sciences,Graduate Student
Earth Sciences,Industry
Biomedical/Health Sciences,Postdoc
Biomedical/Health Sciences,Academic Research Staff
Biomedical/Health Sciences;Computer Science;Mathematics or Statistics,Temporary unemployed
Earth Sciences,Academic Research Staff
NA,NA
Biomedical/Health Sciences;Engineering,Graduate Student
Biomedical/Health Sciences,Graduate Student
Agricultural or Environmental Sciences;Computer Science,Faculty
Social Sciences,Faculty
Biomedical/Health Sciences;Mathematics or Statistics,Faculty
NA,NA
Biomedical/Health Sciences,Postdoc
Engineering;Physical Sciences,Graduate Student
Library Sciences;Physical Sciences,Faculty
Biomedical/Health Sciences,Graduate Student
Mathematics or Statistics;Social Sciences,Graduate Student
Biomedical/Health Sciences,Graduate Student
Mathematics or Statistics,Undergraduate Student
Life Sciences,Industry
Agricultural or Environmental Sciences;Life Sciences,Academic Research Staff
NA,NA
Biomedical/Health Sciences;Life Sciences,Academic Research Staff
Biomedical/Health Sciences;Life Sciences,Graduate Student
Biomedical/Health Sciences,Academic Research Staff
IT administration,Library digital developer
Agricultural or Environmental Sciences;Life Sciences,"Post-Bacc, pre-grad student"
Agricultural or Environmental Sciences,Academic Research Staff
NA,NA
Life Sciences,Graduate Student
Computer Science;Library Sciences,Other Academic Staff
Biomedical/Health Sciences;Life Sciences,Postdoc
Agricultural or Environmental Sciences,Graduate Student
Biomedical/Health Sciences;Library Sciences;Mathematics or Statistics;Social Sciences,Academic Research Staff
Biomedical/Health Sciences;Library Sciences,Other Academic Staff;Senior academic librarian
Biomedical/Health Sciences,Graduate Student;PhD
Computer Science;Mathematics or Statistics;Physical Sciences,Graduate Student
Biomedical/Health Sciences,Faculty
Earth Sciences,Industry
Agricultural or Environmental Sciences,Academic Research Staff
Business,Graduate Student
ecology,Graduate Student
Business,Faculty
Humanities,Academic Research Staff
NA,NA
Biomedical/Health Sciences,Other Academic Staff;Forskerlinjestudent
NA,NA
Computer Science;Engineering;Mathematics or Statistics;Physical Sciences;Social Sciences,Academic Research Staff
Social Sciences,Graduate Student
Mathematics or Statistics,Undergraduate Student
Life Sciences,Postdoc
Art and Design,Faculty
Social Sciences,Graduate Student
Humanities,Other Academic Staff;Research Data Advisor and Workshop Instructor
Agricultural or Environmental Sciences,Postdoc
Biomedical/Health Sciences,Faculty
Social Sciences,Postdoc
Agricultural or Environmental Sciences;Biomedical/Health Sciences;Earth Sciences;Mathematics or Statistics;Social Sciences,Academic Research Staff
Life Sciences,Postdoc
Engineering,Graduate Student
Earth Sciences,Graduate Student
Medicine,Undergraduate Student
Agricultural or Environmental Sciences,Graduate Student
Health services/community research,Academic Research Staff
NA,NA
Physical Sciences,Graduate Student
Earth Sciences,Graduate Student
NA,NA
Social Sciences,Undergraduate Student
Life Sciences,Industry
Agricultural or Environmental Sciences,Undergraduate Student
Earth Sciences,Postdoc
Life Sciences,Postdoc
Biomedical/Health Sciences,Academic Research Staff
Biomedical/Health Sciences;Life Sciences,Academic Research Staff
Biomedical/Health Sciences;Computer Science;Life Sciences,Academic Research Staff
Biomedical/Health Sciences,Graduate Student
Biomedical/Health Sciences;Engineering,Graduate Student
Agricultural or Environmental Sciences;Life Sciences,Postdoc
Biomedical/Health Sciences;Computer Science;Life Sciences;Mathematics or Statistics,Other Academic Staff
Agricultural or Environmental Sciences,Graduate Student
Higher Education Administration,Other Academic Staff
