Date,WhenTaking,MemberSite,MemberSiteOther,UniqueID,InformationReasonableTime,AtmosphereWelcoming,LearnedSkills,Material,Recommend,Worth,Pace,HandsOn,TrainersClearAnswers,TrainersConsiderate,TrainersCommunicators,TrainersEnthusiastic,NewInformation,LiveCodingPostAbility,WebsitePostAbility,ConceptMapsPostAbility,MCQPostAbility,LearningObjectivesPostAbility,KnowledgeFormativeAssessmentPost,KnowledgeFeedbackPost,KnowledgeNovicePost,KnowledgeHumanMemoryPost,KnowledgeCognitiveLoadPost,KnowledgeCarpentriesPost,KnowledgeMotivationStrategiesPost,MotivationFormativeAssessmentPost,MotivationFeedbackPost,MotivationNovicePost,MotivationHumanMemoryPost,MotivationCognitiveLoadPost,MotivationCarpentriesPost,MotivationMotivationStrategiesPost,CompleteTraining,CompleteTrainingOther,LikelyToRecommend,Workshop ID
9/8/18 15:29,"I have recently completed the training, and am taking it after I left the event",SEPT 6 & 7 (CarpentryConnect),,2joche,Disagree,Strongly Agree,Strongly Agree,Agree,,Agree,Slightly fast,Slightly too much lecture,All of the time,All of the time,Often,All of the time,Most of it,Extremely able,Slightly able,Extremely able,Moderately able,Extremely able,Some knowledge of topic,Some knowledge of topic,Extensive knowledge of topic,Extensive knowledge of topic,Extensive knowledge of topic,Extensive knowledge of topic,Extensive knowledge of topic,More motivated,More motivated,More motivated,More motivated,More motivated,More motivated,Much more motivated,"Yes, I understand",,7,
9/8/18 3:42,"I have recently completed the training, and am taking it after I left the event",SEPT 6 & 7 (CarpentryConnect),,1joang,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,Strongly Agree,Just right,Balanced (lecture/hands-on),All of the time,All of the time,All of the time,All of the time,About half of it,Extremely able,Moderately able,Moderately able,Moderately able,Moderately able,Extensive knowledge of topic,Extensive knowledge of topic,Extensive knowledge of topic,Some knowledge of topic,Some knowledge of topic,Extensive knowledge of topic,Extensive knowledge of topic,More motivated,More motivated,More motivated,More motivated,More motivated,More motivated,More motivated,"Yes, I understand",,9,
9/7/18 10:42,"I have just completed the training, and am taking it at the event",SEPT 6 & 7 (CarpentryConnect),,2haale,Agree,Strongly Agree,Strongly Agree,Strongly Agree,,Strongly Agree,Slightly fast,Balanced (lecture/hands-on),All of the time,All of the time,All of the time,All of the time,Most of it,Moderately able,Moderately able,Extremely able,Moderately able,Moderately able,Extensive knowledge of topic,Extensive knowledge of topic,Extensive knowledge of topic,Extensive knowledge of topic,Extensive knowledge of topic,Extensive knowledge of topic,Extensive knowledge of topic,More motivated,Much more motivated,Much more motivated,More motivated,More motivated,Much more motivated,Much more motivated,"Yes, I understand",,9,
9/7/18 10:34,"I have just completed the training, and am taking it at the event",SEPT 6 & 7 (CarpentryConnect),,3dusie,Agree,Strongly Agree,Strongly Agree,Strongly Agree,,Strongly Agree,Just right,Balanced (lecture/hands-on),Often,Often,Often,All of the time,Most of it,Slightly able,Not at all able,Moderately able,Moderately able,Moderately able,Extensive knowledge of topic,Some knowledge of topic,Extensive knowledge of topic,Extensive knowledge of topic,Extensive knowledge of topic,Some knowledge of topic,Extensive knowledge of topic,More motivated,More motivated,More motivated,More motivated,More motivated,More motivated,More motivated,"Yes, I understand",,7,
9/7/18 10:29,"I have just completed the training, and am taking it at the event",Nov 6-7 (South Big Data Hub),,4CTGOU,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,Agree,Slightly slow,Slightly too much lecture,Often,Often,All of the time,Often,About half of it,Moderately able,Moderately able,Neutral,Moderately able,Moderately able,Little or no knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Little or no knowledge of topic,Some knowledge of topic,Little or no knowledge of topic,No change in motivation,No change in motivation,No change in motivation,More motivated,More motivated,More motivated,More motivated,Could use some more details,,5,
9/7/18 10:28,"I have just completed the training, and am taking it at the event",SEPT 6 & 7 (CarpentryConnect),,3tsmun,Agree,Agree,Agree,Agree,,Agree,Slightly fast,Slightly too much hands-on,Often,Often,All of the time,All of the time,,,,,,,,,,,,,,,,,,,,,,,,
9/7/18 10:30,"I have just completed the training, and am taking it at the event",SEPT 6 & 7 (CarpentryConnect),,8janin,Agree,Agree,Agree,Strongly Agree,,Strongly Agree,Slightly fast,Slightly too much lecture,All of the time,All of the time,All of the time,All of the time,Most of it,Extremely able,Not at all able,Neutral,Moderately able,Extremely able,Extensive knowledge of topic,Extensive knowledge of topic,Extensive knowledge of topic,Extensive knowledge of topic,Extensive knowledge of topic,Extensive knowledge of topic,Extensive knowledge of topic,Much more motivated,Much more motivated,Much more motivated,Much more motivated,Much more motivated,Much more motivated,Much more motivated,"Yes, I understand",,10,instructor-training
9/7/18 10:30,"I have recently completed the training, and am taking it after I left the event",SEPT 6 & 7 (CarpentryConnect),,4MtVig,Strongly Agree,Agree,Strongly Agree,Strongly Agree,,Agree,Slightly fast,Balanced (lecture/hands-on),All of the time,All of the time,All of the time,All of the time,About half of it,Neutral,Moderately able,Moderately able,Extremely able,Moderately able,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Extensive knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,More motivated,More motivated,Much more motivated,More motivated,More motivated,More motivated,More motivated,Could use some more details,,9,
9/7/18 10:28,"I have just completed the training, and am taking it at the event",SEPT 6 & 7 (CarpentryConnect),,1caste,Agree,Strongly Agree,Strongly Agree,Strongly Agree,,Strongly Agree,Slightly slow,Slightly too much lecture,Often,All of the time,Often,All of the time,Most of it,Extremely able,Slightly able,Extremely able,Moderately able,Extremely able,Little or no knowledge of topic,Extensive knowledge of topic,Extensive knowledge of topic,Extensive knowledge of topic,Extensive knowledge of topic,Extensive knowledge of topic,Extensive knowledge of topic,More motivated,No change in motivation,No change in motivation,No change in motivation,No change in motivation,No change in motivation,More motivated,"Yes, I understand",,8,instructor-training
9/7/18 10:27,"I have just completed the training, and am taking it at the event",SEPT 6 & 7 (CarpentryConnect),,5englo,Agree,Strongly Agree,Agree,Agree,,Disagree,Slightly fast,Slightly too much hands-on,Often,Often,Often,All of the time,Some of it,Slightly able,Not at all able,Moderately able,Not at all able,Moderately able,Extensive knowledge of topic,Extensive knowledge of topic,Extensive knowledge of topic,Extensive knowledge of topic,Extensive knowledge of topic,Extensive knowledge of topic,Extensive knowledge of topic,More motivated,Much more motivated,Much more motivated,Much more motivated,Much more motivated,More motivated,Much more motivated,"Yes, I understand",,9,
9/7/18 10:21,"I have just completed the training, and am taking it at the event",SEPT 6 & 7 (CarpentryConnect),,2jomim,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,,Strongly Agree,Slightly slow,Slightly too much lecture,All of the time,All of the time,All of the time,All of the time,Some of it,Moderately able,Moderately able,Extremely able,Extremely able,Extremely able,Extensive knowledge of topic,Extensive knowledge of topic,Extensive knowledge of topic,Extensive knowledge of topic,Extensive knowledge of topic,Extensive knowledge of topic,Extensive knowledge of topic,More motivated,More motivated,More motivated,More motivated,More motivated,More motivated,More motivated,"Yes, I understand",,10,
9/7/18 10:05,"I have just completed the training, and am taking it at the event",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instructor-training
9/7/18 10:22,"I have just completed the training, and am taking it at the event",My training event is not listed,training the trainer ,9pasal,Agree,Agree,Agree,Agree,,Agree,Just right,Balanced (lecture/hands-on),Often,Often,Often,Often,Some of it,Neutral,Neutral,Neutral,Neutral,Moderately able,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,More motivated,More motivated,More motivated,More motivated,More motivated,More motivated,More motivated,"Yes, I understand",,8,
