Group Name,Occupation,Country,Expertise areas,Previous Involvement,Previous Training in Teaching,Previous Experience in Teaching
,postdoc,MX,"Genetics, genomics, bioinformatics, Organismal biology (ecology, botany, zoology, microbiology)",helper,A workshop,Primary instructor for a full course
group_name,postdoc,US,"Civil, mechanical, chemical, or nuclear engineering, Computer science/electrical engineering",,A certification or short course,Teaching assistant for a full course
group_name,postdoc,US,"Genetics, genomics, bioinformatics",,None,Teaching assistant for a full course
,undisclosed,US,"Education, Humanities, Social sciences",,None,Teaching assistant for a full course
,faculty,TR,Computer science/electrical engineering,,A certification or short course,Primary instructor for a full course
,faculty,US,"Planetary sciences (geology, climatology, oceanography, etc.)",learner,Other,Primary instructor for a full course
,grad,US,"Chemistry, Physics",,A workshop,Teaching assistant for a full course
group_name,postdoc,US,"Genetics, genomics, bioinformatics, Medicine",helper,None,None
group_name,librarian,US,"Computer science/electrical engineering, Physics",helper,A full degree,Primary instructor for a full course
group_name,grad,US,"Computer science/electrical engineering, Education",learner,A workshop,Primary instructor for a full course
,research,US,Social sciences,learner,None,None
group_name,undisclosed,DE,Computer science/electrical engineering,,None,None
group_name,grad,DE,"Genetics, genomics, bioinformatics, Library and information science",helper,None,A few hours
group_name,postdoc,US,"Genetics, genomics, bioinformatics, Medicine",helper,None,Other
,,US,Computer science/electrical engineering,,None,Other
group_name,postdoc,US,"Chemistry, Computer science/electrical engineering, Genetics, genomics, bioinformatics",helper,None,Teaching assistant for a full course
group_name,postdoc,US,,"helper, learner",A few hours,Teaching assistant for a full course
group_name,faculty,US,"Computer science/electrical engineering, Genetics, genomics, bioinformatics, Psychology/neuroscience",,None,A few hours
group_name,,EC,"Computer science/electrical engineering, Education",,None,Primary instructor for a full course
group_name,grad,US,"Education, High performance computing, Mathematics/statistics",learner,A certification or short course,None
,postdoc,US,"Computer science/electrical engineering, Genetics, genomics, bioinformatics, High performance computing",,None,Teaching assistant for a full course
group_name,postdoc,DE,"Computer science/electrical engineering, High performance computing, Mathematics/statistics, Physics","helper, instructor, host, organizer",None,Teaching assistant for a full course
,grad,AR,"Mathematics/statistics, Social sciences",,None,None
group_name,grad,DE,"Computer science/electrical engineering, Mathematics/statistics, Physics",,None,Primary instructor for a full course
,research,DE,"Computer science/electrical engineering, Genetics, genomics, bioinformatics, Organismal biology (ecology, botany, zoology, microbiology)",helper,None,A few hours
group_name,postdoc,US,"Genetics, genomics, bioinformatics","helper, learner",None,Teaching assistant for a full course
,grad,GB,"Humanities, Social sciences",learner,A workshop,A few hours
group_name,grad,AR,"Genetics, genomics, bioinformatics",,None,A workshop (full day or longer)
group_name,faculty,AR,"Genetics, genomics, bioinformatics","helper, learner",A certification or short course,Primary instructor for a full course
,grad,US,"Computer science/electrical engineering, High performance computing, Mathematics/statistics, Physics",learner,None,Teaching assistant for a full course
,grad,US,Computer science/electrical engineering,learner,Other,Other
,grad,US,Social sciences,learner,A certification or short course,Teaching assistant for a full course
group_name,research,DE,Humanities,,Other,Teaching assistant for a full course
group_name,grad,US,"Computer science/electrical engineering, Economics/business",,None,A few hours
group_name,research,DE,"Genetics, genomics, bioinformatics",,None,None
group_name,research,US,"Genetics, genomics, bioinformatics","helper, instructor, host, learner, organizer",A certification or short course,Teaching assistant for a full course
,librarian,US,"Economics/business, Education, Library and information science",,A certification or short course,Primary instructor for a full course
group_name,grad,EE,"Computer science/electrical engineering, Genetics, genomics, bioinformatics, Mathematics/statistics",,None,Teaching assistant for a full course
group_name,research,DE,Computer science/electrical engineering,learner,A workshop,Primary instructor for a full course
group_name,librarian,NO,Humanities,"helper, instructor, learner, organizer",Other,Primary instructor for a full course
group_name,postdoc,US,Computer science/electrical engineering,helper,A workshop,Primary instructor for a full course
group_name,faculty,US,"Genetics, genomics, bioinformatics, High performance computing, Organismal biology (ecology, botany, zoology, microbiology)",helper,A full degree,Primary instructor for a full course
,grad,US,"Organismal biology (ecology, botany, zoology, microbiology)",,None,Teaching assistant for a full course
,librarian,DE,"Genetics, genomics, bioinformatics",helper,A certification or short course,Primary instructor for a full course
group_name,research,EC,"Computer science/electrical engineering, Education, Genetics, genomics, bioinformatics, Mathematics/statistics",learner,A workshop,Primary instructor for a full course
group_name,research,US,"Civil, mechanical, chemical, or nuclear engineering, Computer science/electrical engineering",helper,A workshop,None
,commerce,US,"Computer science/electrical engineering, Library and information science, Mathematics/statistics",,None,None
group_name,grad,US,"Civil, mechanical, chemical, or nuclear engineering","learner, organizer",A workshop,Primary instructor for a full course
,grad,ET,Computer science/electrical engineering,helper,A workshop,None
,grad,FR,Mathematics/statistics,,None,Teaching assistant for a full course
,grad,US,"Genetics, genomics, bioinformatics, High performance computing, Mathematics/statistics","helper, learner",None,A workshop (full day or longer)
group_name,research,AU,Computer science/electrical engineering,instructor,A certification or short course,None
,postdoc,US,"Genetics, genomics, bioinformatics, Organismal biology (ecology, botany, zoology, microbiology)",,A certification or short course,Teaching assistant for a full course
,support,ZA,"Genetics, genomics, bioinformatics",helper,None,A few hours
group_name,support,AU,"Computer science/electrical engineering, Genetics, genomics, bioinformatics",helper,None,A workshop (full day or longer)
group_name,commerce,AU,"Computer science/electrical engineering, High performance computing",learner,None,A workshop (full day or longer)
group_name,research,AU,"Computer science/electrical engineering, Genetics, genomics, bioinformatics, High performance computing","helper, learner",A few hours,Teaching assistant for a full course
group_name,undisclosed,AU,"Computer science/electrical engineering, High performance computing",instructor,None,Primary instructor for a full course
,research,US,"Economics/business, Social sciences",,None,Teaching assistant for a full course
,faculty,SE,"Computer science/electrical engineering, Education",learner,A full degree,None
,,MX,"Computer science/electrical engineering, Education",,A full degree,Primary instructor for a full course
group_name,research,AU,"High performance computing, Mathematics/statistics, Physics",,A workshop,Primary instructor for a full course
,,EE,Computer science/electrical engineering,,None,A workshop (full day or longer)
,undisclosed,ET,Mathematics/statistics,instructor,None,None
group_name,research,AU,"Organismal biology (ecology, botany, zoology, microbiology)",learner,None,Teaching assistant for a full course
,postdoc,US,"Organismal biology (ecology, botany, zoology, microbiology)",learner,None,Primary instructor for a full course
,research,RW,"Computer science/electrical engineering, High performance computing, Space sciences",,None,A workshop (full day or longer)
,librarian,ZA,Library and information science,learner,A full degree,A workshop (full day or longer)
group_name,postdoc,US,"Computer science/electrical engineering, Mathematics/statistics",instructor,None,Primary instructor for a full course
group_name,support,GB,"Computer science/electrical engineering, High performance computing",,None,None
group_name,research,AU,"Computer science/electrical engineering, High performance computing, Mathematics/statistics",,None,Teaching assistant for a full course
group_name,support,AU,"Computer science/electrical engineering, Humanities",,A workshop,Teaching assistant for a full course
group_name,grad,AU,"Computer science/electrical engineering, Mathematics/statistics",instructor,None,Primary instructor for a full course
,grad,US,Mathematics/statistics,,A certification or short course,Primary instructor for a full course
,grad,AR,Computer science/electrical engineering,,None,None
group_name,support,US,Computer science/electrical engineering,"helper, host, organizer",None,None
,grad,ZA,,"helper, instructor, host, organizer, contributor",None,None
,,DE,"Economics/business, Mathematics/statistics, Social sciences",,A certification or short course,Teaching assistant for a full course
group_name,postdoc,US,"Genetics, genomics, bioinformatics",learner,None,Teaching assistant for a full course
group_name,librarian,US,,,A workshop,A workshop (full day or longer)
,grad,ZA,"Mathematics/statistics, Medicine",,None,Teaching assistant for a full course
group_name,,AU,"Chemistry, Genetics, genomics, bioinformatics, Medicine",,A certification or short course,Primary instructor for a full course
,postdoc,DE,"Genetics, genomics, bioinformatics",,A workshop,A workshop (full day or longer)
,commerce,US,"Mathematics/statistics, Psychology/neuroscience",,A workshop,Primary instructor for a full course
group_name,support,AU,"Genetics, genomics, bioinformatics",,None,None
,research,SA,"Computer science/electrical engineering, Mathematics/statistics, Physics",learner,A workshop,Teaching assistant for a full course
,grad,US,"Chemistry, Computer science/electrical engineering, Genetics, genomics, bioinformatics, High performance computing, Organismal biology (ecology, botany, zoology, microbiology)",learner,None,A few hours
group_name,librarian,CA,"Library and information science, Social sciences",learner,A few hours,Primary instructor for a full course
group_name,support,CA,"Economics/business, Mathematics/statistics, Social sciences","helper, learner",Other,Teaching assistant for a full course
,postdoc,US,"Organismal biology (ecology, botany, zoology, microbiology), Social sciences",learner,A certification or short course,Teaching assistant for a full course
,postdoc,US,"Genetics, genomics, bioinformatics, Medicine","helper, learner",None,Teaching assistant for a full course
,research,US,"Computer science/electrical engineering, Genetics, genomics, bioinformatics, Mathematics/statistics","helper, learner",None,None
,postdoc,US,"Civil, mechanical, chemical, or nuclear engineering",,None,Teaching assistant for a full course
group_name,postdoc,US,"Genetics, genomics, bioinformatics, Physics",,None,A workshop (full day or longer)
group_name,librarian,US,"Humanities, Library and information science, Social sciences",learner,A certification or short course,A few hours
group_name,librarian,US,"Humanities, Library and information science",,A few hours,A few hours
group_name,grad,US,"Genetics, genomics, bioinformatics, Organismal biology (ecology, botany, zoology, microbiology)",,A certification or short course,Teaching assistant for a full course
group_name,postdoc,US,"Genetics, genomics, bioinformatics, High performance computing","helper, learner",None,None
group_name,postdoc,US,Physics,,A workshop,Primary instructor for a full course
,research,US,"Computer science/electrical engineering, Mathematics/statistics",helper,A certification or short course,Primary instructor for a full course
group_name,postdoc,US,"Genetics, genomics, bioinformatics, Organismal biology (ecology, botany, zoology, microbiology)",learner,A certification or short course,Teaching assistant for a full course
group_name,research,AU,Computer science/electrical engineering,"helper, instructor, host, learner, organizer",A certification or short course,A workshop (full day or longer)
group_name,postdoc,AU,"Chemistry, Mathematics/statistics",learner,None,None
group_name,research,US,"Genetics, genomics, bioinformatics, Physics",,A certification or short course,Teaching assistant for a full course
,support,US,"Genetics, genomics, bioinformatics, High performance computing",learner,None,None
group_name,research,US,"Computer science/electrical engineering, Genetics, genomics, bioinformatics",,None,None
group_name,postdoc,US,"Library and information science, Organismal biology (ecology, botany, zoology, microbiology)",learner,A certification or short course,Primary instructor for a full course
group_name,grad,US,"Genetics, genomics, bioinformatics, Organismal biology (ecology, botany, zoology, microbiology)",helper,None,A workshop (full day or longer)
group_name,research,EC,"Computer science/electrical engineering, Genetics, genomics, bioinformatics, Mathematics/statistics",host,None,Primary instructor for a full course
,postdoc,US,"High performance computing, Physics",learner,None,Teaching assistant for a full course
group_name,commerce,AR,Computer science/electrical engineering,contributor,None,Teaching assistant for a full course
,grad,US,"Civil, mechanical, chemical, or nuclear engineering, Economics/business",learner,A workshop,Primary instructor for a full course
group_name,grad,US,"Genetics, genomics, bioinformatics",,None,Other
group_name,,US,"Genetics, genomics, bioinformatics, High performance computing, Mathematics/statistics, Medicine",,None,Other
,librarian,NZ,"Humanities, Library and information science",learner,A full degree,A few hours
,research,US,"Computer science/electrical engineering, High performance computing","helper, learner",None,None
group_name,postdoc,US,"Genetics, genomics, bioinformatics, Organismal biology (ecology, botany, zoology, microbiology)",,None,Teaching assistant for a full course
group_name,grad,US,"Education, Mathematics/statistics, Physics",helper,None,Teaching assistant for a full course
group_name,postdoc,US,"Mathematics/statistics, Organismal biology (ecology, botany, zoology, microbiology)",,A certification or short course,Primary instructor for a full course
group_name,faculty,US,Computer science/electrical engineering,learner,None,Primary instructor for a full course
group_name,postdoc,US,"Organismal biology (ecology, botany, zoology, microbiology)",learner,A workshop,Teaching assistant for a full course
group_name,faculty,US,Mathematics/statistics,,None,Other
,librarian,GB,"Computer science/electrical engineering, Economics/business, Education, Humanities, Library and information science, Mathematics/statistics",,A workshop,A workshop (full day or longer)
,commerce,US,"Humanities, Library and information science, Mathematics/statistics",,A certification or short course,Primary instructor for a full course
,postdoc,US,"Planetary sciences (geology, climatology, oceanography, etc.)",,A certification or short course,Primary instructor for a full course
group_name,faculty,CA,"Education, Physics",,None,Primary instructor for a full course
group_name,research,NZ,"Genetics, genomics, bioinformatics","helper, instructor, learner",A few hours,A workshop (full day or longer)
,grad,NZ,"Genetics, genomics, bioinformatics","helper, instructor",None,Teaching assistant for a full course
group_name,research,NZ,"Genetics, genomics, bioinformatics, Organismal biology (ecology, botany, zoology, microbiology)","helper, learner",A few hours,Primary instructor for a full course
group_name,librarian,NZ,Library and information science,learner,None,Other
group_name,postdoc,NZ,"Genetics, genomics, bioinformatics, Organismal biology (ecology, botany, zoology, microbiology)",learner,A workshop,Primary instructor for a full course
group_name,undergrad,CR,"Computer science/electrical engineering, Genetics, genomics, bioinformatics, Organismal biology (ecology, botany, zoology, microbiology)",,A workshop,A workshop (full day or longer)
,grad,SA,"Computer science/electrical engineering, Economics/business, High performance computing, Mathematics/statistics, Planetary sciences (geology, climatology, oceanography, etc.), Social sciences",,None,Teaching assistant for a full course
,support,US,"Mathematics/statistics, Physics, Planetary sciences (geology, climatology, oceanography, etc.)",,A few hours,Teaching assistant for a full course
group_name,support,MX,"Genetics, genomics, bioinformatics, Organismal biology (ecology, botany, zoology, microbiology)",contributor,A workshop,Primary instructor for a full course
group_name,grad,MX,"Education, Genetics, genomics, bioinformatics",helper,A certification or short course,Teaching assistant for a full course
group_name,undergrad,CR,"Organismal biology (ecology, botany, zoology, microbiology)",,None,A workshop (full day or longer)
group_name,undergrad,CR,"Genetics, genomics, bioinformatics, Organismal biology (ecology, botany, zoology, microbiology)",learner,None,None
group_name,faculty,MX,"Genetics, genomics, bioinformatics",learner,A few hours,Primary instructor for a full course
group_name,grad,MX,Computer science/electrical engineering,"helper, learner",None,None
group_name,grad,MX,Computer science/electrical engineering,helper,None,A few hours
group_name,grad,CO,"Computer science/electrical engineering, Mathematics/statistics",,None,Teaching assistant for a full course
,faculty,ZA,,learner,A certification or short course,Other
