Occupation,Country,Expertise areas,Previous Involvement,Previous Training in Teaching,Previous Experience in Teaching
grad,US,"Chemistry, Education, Genetics, genomics, bioinformatics, Organismal biology (ecology, botany, zoology, microbiology)","instructor, contributor",Unknown,Unknown
research,GB,Physics,Unknown,Unknown,Unknown
support,DE,Mathematics/statistics,helper,Unknown,Unknown
Unknown,CA,"Education, Mathematics/statistics",Unknown,Unknown,Unknown
grad,US,"Economics/business, Mathematics/statistics",helper,Unknown,Unknown
faculty,US,Physics,Unknown,A certification or short course,Unknown
grad,IE,"Genetics, genomics, bioinformatics",Unknown,A certification or short course,Unknown
faculty,US,"High performance computing, Physics",Unknown,A certification or short course,Unknown
research,ES,Mathematics/statistics,Unknown,A certification or short course,Unknown
grad,US,"Genetics, genomics, bioinformatics, Mathematics/statistics",learner,A certification or short course,Unknown
postdoc,FR,Social sciences,learner,A certification or short course,Unknown
grad,Unknown,GB,Unknown,A certification or short course,Unknown
Unknown,US,Chemistry,learner,A certification or short course,Unknown
research,US,"Genetics, genomics, bioinformatics, High performance computing, Library and information science, Organismal biology (ecology, botany, zoology, microbiology)",Unknown,A certification or short course,Unknown
postdoc,CA,Physics,helper,A certification or short course,A few hours
support,US,"Computer science/electrical engineering, Education, High performance computing, Mathematics/statistics, Physics, Planetary sciences (geology, climatology, oceanography, etc.), Space sciences",helper,A certification or short course,A few hours
postdoc,US,"Education, High performance computing, Physics",learner,A certification or short course,A few hours
faculty,US,Computer science/electrical engineering,helper,A certification or short course,A few hours
Unknown,US,Computer science/electrical engineering,Unknown,A certification or short course,A few hours
undergrad,US,"Civil, mechanical, chemical, or nuclear engineering, Mathematics/statistics, Social sciences","learner, contributor",A certification or short course,A few hours
research,NL,"Mathematics/statistics, Psychology/neuroscience",Unknown,A certification or short course,A few hours
grad,US,"Organismal biology (ecology, botany, zoology, microbiology)","helper, learner",A certification or short course,A few hours
Unknown,CA,"Computer science/electrical engineering, Genetics, genomics, bioinformatics",Unknown,A certification or short course,A few hours
support,CA,"Economics/business, Education",helper,A certification or short course,A few hours
research,US,"High performance computing, Physics, Space sciences",helper,A certification or short course,A few hours
research,US,"Computer science/electrical engineering, Economics/business, Library and information science, Mathematics/statistics, Social sciences",helper,A certification or short course,A few hours
