person,country,first_badge_date
48,US,2014-05-04
72,GB,2017-12-08
75,US,2013-07-20
85,US,2014-12-23
87,US,2013-11-25
126,ES,2016-03-15
135,US,2015-02-03
155,US,2014-09-18
161,GB,2014-11-27
183,US,2014-10-16
187,AU,2015-02-27
219,US,2017-10-31
231,US,2012-12-20
253,CA,2014-10-03
266,GB,2014-12-23
282,US,2019-01-11
319,CA,2012-12-20
345,CA,2016-02-12
361,US,2013-11-25
410,NZ,2015-02-27
415,US,2014-08-12
439,GB,2017-06-08
458,US,2016-08-10
464,PL,2014-09-18
497,CA,2014-05-04
500,GB,2013-07-20
502,US,2018-04-26
506,AU,2015-02-28
516,CA,2014-11-22
544,NO,2014-11-27
559,US,2014-11-05
570,AU,2013-11-17
574,GB,2014-05-09
578,GB,2019-01-07
591,US,2017-02-16
609,US,2014-05-04
614,US,2015-05-05
616,GB,2015-05-26
647,US,2013-11-17
668,,2018-02-06
670,GB,2014-07-22
674,CA,2016-11-11
684,US,2015-06-12
719,,2018-11-02
751,NZ,2015-03-25
761,US,2015-05-05
763,US,2014-12-23
779,US,2013-07-20
795,GB,2017-12-08
796,US,2014-11-27
814,US,2014-11-11
815,NZ,2015-03-25
823,AU,2016-08-11
832,US,2015-05-14
840,CA,2014-11-27
841,US,2012-12-20
854,US,2016-05-26
856,US,2017-09-08
872,US,2015-05-05
906,FR,2012-12-20
910,GB,2016-11-11
920,GB,2016-03-22
949,US,2015-05-05
963,,2018-06-14
965,US,2012-12-20
973,US,2018-06-30
978,US,2015-05-26
991,US,2016-03-08
1005,US,2016-02-29
1007,CA,2013-07-24
1051,CA,2018-06-26
1060,US,2014-11-05
1099,CA,2014-05-09
1122,US,2015-10-13
1126,GB,2015-08-03
1139,US,2014-11-27
1157,US,2013-07-24
1158,GB,2012-12-20
1175,US,2014-12-11
1182,US,2016-02-29
1213,US,2016-01-19
1230,US,2017-05-04
1255,GB,2017-12-05
1270,US,2014-08-12
1276,ES,2017-10-09
1286,US,2014-05-04
1292,US,2013-12-05
1322,CA,2016-02-04
1325,US,2015-03-25
1329,US,2016-11-11
1359,US,2014-05-09
1423,CA,2017-03-16
1428,DK,2014-09-18
1445,US,2014-07-22
1463,US,2016-04-25
1468,GB,2017-07-14
1481,US,2012-12-20
1486,GB,2012-12-20
1490,CA,2015-05-26
1524,US,2015-01-07
1553,CN,2014-05-04
1577,ZA,2017-08-09
1581,CA,2014-12-11
1585,US,2015-05-26
1611,GB,2015-06-12
1621,GB,2017-06-08
1637,US,2014-05-04
1642,AU,2015-05-14
1649,IT,2014-11-22
1658,AU,2015-02-28
1676,GB,2016-02-02
1678,US,2014-12-08
1685,IT,2013-07-24
1687,CA,2014-11-17
1700,AU,2015-02-27
1701,GB,2012-12-20
1703,GB,2015-09-02
1711,LT,2014-07-22
1745,PL,2014-12-23
1757,CA,2015-05-05
1798,AU,2015-02-27
1804,DE,2013-11-25
1806,GB,2014-11-22
1827,US,2012-12-20
1828,US,2013-11-17
1914,AU,2015-02-27
1942,US,2014-10-16
1954,CA,2013-11-17
1957,US,2015-05-26
1980,US,2015-05-26
1983,CA,2016-04-08
1987,CA,2012-12-20
1998,AU,2014-11-05
2006,DE,2019-02-02
2036,US,2015-06-12
2037,AU,2016-01-30
2054,US,2016-02-25
2070,AU,2015-03-25
2106,NZ,2013-11-17
2113,US,2015-06-14
2129,US,2015-05-05
2145,CA,2014-12-08
2152,CA,2012-12-20
2184,US,2015-05-05
2225,AE,2014-12-23
2228,US,2018-01-08
2261,US,2012-12-20
2272,FR,2014-05-04
2274,US,2013-07-24
2278,US,2015-07-08
2308,CA,2014-09-18
2375,AU,2013-07-20
2406,GB,2015-02-03
2416,US,2016-04-25
2436,CA,2014-10-03
2449,AU,2015-04-20
2452,BR,2015-05-05
2478,GB,2013-07-20
2495,US,2013-11-17
2507,GB,2013-07-20
2515,US,2016-05-13
2525,US,2014-05-04
2550,US,2014-12-11
2551,US,2015-06-12
2552,,2018-01-24
2554,NO,2015-06-04
2556,US,2017-01-25
2560,AU,2016-07-19
2573,DE,2015-05-05
2586,US,2015-05-05
2589,GB,2014-10-03
2607,GB,2015-07-15
2615,US,2014-11-05
2618,NO,2016-04-14
2623,US,2015-03-12
2636,US,2014-05-09
2644,US,2017-04-06
2653,US,2014-12-08
2667,US,2016-05-17
2674,,2018-08-03
2702,CA,2016-09-01
2707,US,2014-12-23
2724,ES,2015-05-14
2727,GB,2014-10-16
2733,AU,2013-11-17
2737,NZ,2016-08-16
2738,,2018-06-27
2742,US,2014-05-04
2759,US,2014-12-08
2761,BE,2014-11-13
2819,US,2015-04-20
2848,CA,2015-05-26
2851,US,2013-11-17
2866,,2017-10-17
2943,US,2013-11-17
2968,GB,2014-11-27
2978,CA,2014-12-08
2998,GB,2017-12-22
3000,GB,2015-05-14
