country,year_awarded,count(id)
CA,2012,7
FR,2012,2
GB,2012,5
US,2012,20
AU,2013,5
CA,2013,6
CH,2013,1
CN,2013,1
DE,2013,2
GB,2013,10
IT,2013,1
NO,2013,2
NZ,2013,2
US,2013,39
AE,2014,1
AU,2014,5
CA,2014,27
CH,2014,1
DE,2014,5
DK,2014,2
ES,2014,2
FR,2014,1
GB,2014,21
IN,2014,1
LT,2014,1
NO,2014,1
NZ,2014,1
PL,2014,5
SE,2014,2
TH,2014,1
US,2014,98
AU,2015,33
BE,2015,1
BR,2015,1
CA,2015,20
DE,2015,3
DK,2015,2
ES,2015,2
GB,2015,21
NL,2015,1
NO,2015,2
NZ,2015,11
US,2015,95
VE,2015,1
ZA,2015,4
AU,2016,30
BE,2016,3
BJ,2016,1
BR,2016,4
CA,2016,43
CH,2016,12
CL,2016,1
DE,2016,7
DK,2016,2
EE,2016,2
ES,2016,5
FR,2016,8
GB,2016,25
GR,2016,4
HK,2016,1
IE,2016,1
IT,2016,4
MX,2016,1
NA,2016,1
NL,2016,7
NO,2016,10
NZ,2016,14
PL,2016,4
SA,2016,1
SE,2016,1
SI,2016,2
TW,2016,1
US,2016,162
ZA,2016,8
AU,2017,24
BE,2017,1
BR,2017,2
CA,2017,10
CH,2017,3
DE,2017,7
DK,2017,3
ES,2017,1
ET,2017,3
FR,2017,2
GB,2017,44
IL,2017,1
IN,2017,1
IT,2017,1
LU,2017,1
MX,2017,3
NL,2017,1
NO,2017,3
NZ,2017,14
SA,2017,1
SE,2017,2
SG,2017,1
US,2017,169
ZA,2017,17
AU,2018,6
CA,2018,2
CO,2018,1
CZ,2018,1
ES,2018,2
GB,2018,22
HK,2018,1
JP,2018,1
NL,2018,4
NO,2018,1
NZ,2018,1
PL,2018,1
PT,2018,1
US,2018,34
ZA,2018,2
