date_awarded,first_wkshp,days
03/01/16,03/01/13,-1096
09/01/17,08/01/14,-1127
02/01/16,03/01/13,-1067
03/01/16,04/01/13,-1065
12/01/16,01/01/14,-1065
01/01/16,04/01/13,-1005
08/01/17,11/01/14,-1004
05/01/17,12/01/14,-882
05/01/18,02/01/16,-820
07/01/17,06/01/15,-761
04/01/16,04/01/14,-731
10/01/14,10/01/12,-730
02/01/18,04/01/16,-671
12/01/17,02/01/16,-669
02/01/16,05/01/14,-641
02/01/18,05/01/16,-641
12/01/17,03/01/16,-640
12/01/14,05/01/13,-579
11/01/14,04/01/13,-579
05/01/17,10/01/15,-578
12/01/17,05/01/16,-579
12/01/14,07/01/13,-518
07/01/14,03/01/13,-487
01/01/16,09/01/14,-487
10/01/16,06/01/15,-488
06/01/15,02/01/14,-485
07/01/14,04/01/13,-456
11/01/14,08/01/13,-457
09/01/16,06/01/15,-458
07/01/13,05/01/12,-426
07/01/13,05/01/12,-426
02/01/16,01/01/15,-396
02/01/15,12/01/13,-427
07/01/14,06/01/13,-395
07/01/14,06/01/13,-395
12/01/12,11/01/11,-396
12/01/12,11/01/11,-396
12/01/12,11/01/11,-396
03/01/16,01/01/15,-425
05/01/18,04/01/17,-395
11/01/16,10/01/15,-397
12/01/17,11/01/16,-395
07/01/14,07/01/13,-365
12/01/16,11/01/15,-396
02/01/16,01/01/15,-396
07/01/13,07/01/12,-365
03/01/18,03/01/17,-365
01/01/17,01/01/16,-366
05/01/18,05/01/17,-365
04/01/18,05/01/17,-335
12/01/12,01/01/12,-335
06/01/17,06/01/16,-365
04/01/17,05/01/16,-335
01/01/17,02/01/16,-335
03/01/16,04/01/15,-335
07/01/14,08/01/13,-334
07/01/15,08/01/14,-334
04/01/17,06/01/16,-304
08/01/17,10/01/16,-304
07/01/13,09/01/12,-303
11/01/14,01/01/14,-304
07/01/14,09/01/13,-303
12/01/12,02/01/12,-304
06/01/15,08/01/14,-304
12/01/15,02/01/15,-303
12/01/12,02/01/12,-304
07/01/15,09/01/14,-303
03/01/18,05/01/17,-304
11/01/17,01/01/17,-304
11/01/14,02/01/14,-273
11/01/17,02/01/17,-273
02/01/16,04/01/15,-306
11/01/17,01/01/17,-304
07/01/16,10/01/15,-274
11/01/13,02/01/13,-273
07/01/13,10/01/12,-273
05/01/16,08/01/15,-274
02/01/16,05/01/15,-276
06/01/17,09/01/16,-273
12/01/12,03/01/12,-275
12/01/16,03/01/16,-275
11/01/17,03/01/17,-245
10/01/17,01/01/17,-273
08/01/16,11/01/15,-274
12/01/12,04/01/12,-244
12/01/12,04/01/12,-244
03/01/17,06/01/16,-273
10/01/14,01/01/14,-273
02/01/16,05/01/15,-276
07/01/13,11/01/12,-242
04/01/16,07/01/15,-275
02/01/17,06/01/16,-245
05/01/15,08/01/14,-273
08/01/15,11/01/14,-273
07/01/13,11/01/12,-242
12/01/12,04/01/12,-244
05/01/14,09/01/13,-242
05/01/14,09/01/13,-242
02/01/18,06/01/17,-245
05/01/15,09/01/14,-242
11/01/16,04/01/16,-214
12/01/12,04/01/12,-244
12/01/16,04/01/16,-244
12/01/17,05/01/17,-214
07/01/15,11/01/14,-242
04/01/16,09/01/15,-213
12/01/12,05/01/12,-214
11/01/13,04/01/13,-214
11/01/16,03/01/16,-245
11/01/14,04/01/14,-214
07/01/13,12/01/12,-212
12/01/12,05/01/12,-214
12/01/12,05/01/12,-214
05/01/16,10/01/15,-213
12/01/12,05/01/12,-214
09/01/17,02/01/17,-212
01/01/16,06/01/15,-214
02/01/16,07/01/15,-215
04/01/17,10/01/16,-182
11/01/13,05/01/13,-184
07/01/13,01/01/13,-181
02/01/15,08/01/14,-184
02/01/15,08/01/14,-184
08/01/16,02/01/16,-182
11/01/13,05/01/13,-184
11/01/14,05/01/14,-184
11/01/13,05/01/13,-184
11/01/16,05/01/16,-184
03/01/16,08/01/15,-213
02/01/16,08/01/15,-184
12/01/17,06/01/17,-183
07/01/13,01/01/13,-181
05/01/15,10/01/14,-212
08/01/16,01/01/16,-213
09/01/15,03/01/15,-184
09/01/15,03/01/15,-184
07/01/13,01/01/13,-181
11/01/14,05/01/14,-184
11/01/13,05/01/13,-184
11/01/14,06/01/14,-153
06/01/17,12/01/16,-182
06/01/16,01/01/16,-152
05/01/17,11/01/16,-181
12/01/12,06/01/12,-183
12/01/12,06/01/12,-183
12/01/17,06/01/17,-183
07/01/13,01/01/13,-181
07/01/13,01/01/13,-181
07/01/13,01/01/13,-181
08/01/16,03/01/16,-153
07/01/16,02/01/16,-151
08/01/16,03/01/16,-153
12/01/12,07/01/12,-153
07/01/13,02/01/13,-150
12/01/12,07/01/12,-153
11/01/13,06/01/13,-153
12/01/12,07/01/12,-153
11/01/14,06/01/14,-153
01/01/17,08/01/16,-153
07/01/17,02/01/17,-150
11/01/16,06/01/16,-153
07/01/17,02/01/17,-150
07/01/13,02/01/13,-150
06/01/16,02/01/16,-121
07/01/13,02/01/13,-150
07/01/16,02/01/16,-151
01/01/16,09/01/15,-122
06/01/17,01/01/17,-151
07/01/13,03/01/13,-122
01/01/16,09/01/15,-122
08/01/16,04/01/16,-122
11/01/14,07/01/14,-123
07/01/13,03/01/13,-122
11/01/14,06/01/14,-153
05/01/16,01/01/16,-121
01/01/16,09/01/15,-122
07/01/14,03/01/14,-122
05/01/16,01/01/16,-121
10/01/14,06/01/14,-122
07/01/13,03/01/13,-122
03/01/18,11/01/17,-120
03/01/16,11/01/15,-121
06/01/17,02/01/17,-120
01/01/16,10/01/15,-92
01/01/18,10/01/17,-92
07/01/13,04/01/13,-91
05/01/15,01/01/15,-120
12/01/14,08/01/14,-122
02/01/16,10/01/15,-123
11/01/17,08/01/17,-92
01/01/17,10/01/16,-92
05/01/18,01/01/18,-120
03/01/18,12/01/17,-90
11/01/14,08/01/14,-92
03/01/16,11/01/15,-121
12/01/17,08/01/17,-122
07/01/13,04/01/13,-91
04/01/18,01/01/18,-90
10/01/17,07/01/17,-92
09/01/16,06/01/16,-92
07/01/13,04/01/13,-91
07/01/13,04/01/13,-91
01/01/16,10/01/15,-92
08/01/17,05/01/17,-92
01/01/16,11/01/15,-61
11/01/13,08/01/13,-92
05/01/14,02/01/14,-89
06/01/17,03/01/17,-92
11/01/14,08/01/14,-92
12/01/12,09/01/12,-91
04/01/16,01/01/16,-91
04/01/16,02/01/16,-60
04/01/16,02/01/16,-60
05/01/14,02/01/14,-89
02/01/16,11/01/15,-92
02/01/18,12/01/17,-62
07/01/13,05/01/13,-61
09/01/17,07/01/17,-62
06/01/16,03/01/16,-92
12/01/12,10/01/12,-61
12/01/12,10/01/12,-61
05/01/16,03/01/16,-61
11/01/16,08/01/16,-92
12/01/17,10/01/17,-61
05/01/14,02/01/14,-89
04/01/17,02/01/17,-59
01/01/16,11/01/15,-61
01/01/16,11/01/15,-61
02/01/17,12/01/16,-62
04/01/17,02/01/17,-59
12/01/12,10/01/12,-61
07/01/13,05/01/13,-61
03/01/16,01/01/16,-60
12/01/16,10/01/16,-61
12/01/12,10/01/12,-61
09/01/14,07/01/14,-62
11/01/14,09/01/14,-61
05/01/17,03/01/17,-61
08/01/14,06/01/14,-61
03/01/16,02/01/16,-29
04/01/17,02/01/17,-59
04/01/17,02/01/17,-59
03/01/16,02/01/16,-29
10/01/17,08/01/17,-61
12/01/12,10/01/12,-61
11/01/14,09/01/14,-61
08/01/17,06/01/17,-61
10/01/17,08/01/17,-61
11/01/13,09/01/13,-61
09/01/17,07/01/17,-62
10/01/17,08/01/17,-61
09/01/15,08/01/15,-31
03/01/18,01/01/18,-59
03/01/16,01/01/16,-60
06/01/16,04/01/16,-61
08/01/14,06/01/14,-61
11/01/17,09/01/17,-61
04/01/18,02/01/18,-59
09/01/17,07/01/17,-62
04/01/15,03/01/15,-31
07/01/14,06/01/14,-30
01/01/16,12/01/15,-31
03/01/17,01/01/17,-59
05/01/18,03/01/18,-61
12/01/16,11/01/16,-30
12/01/17,11/01/17,-30
03/01/16,02/01/16,-29
03/01/16,02/01/16,-29
03/01/17,02/01/17,-28
07/01/17,06/01/17,-30
05/01/16,03/01/16,-61
01/01/16,12/01/15,-31
12/01/17,10/01/17,-61
12/01/12,11/01/12,-30
01/01/18,12/01/17,-31
01/01/18,12/01/17,-31
10/01/16,09/01/16,-30
01/01/17,12/01/16,-31
04/01/18,03/01/18,-31
04/01/14,03/01/14,-31
07/01/15,06/01/15,-30
06/01/16,05/01/16,-31
