id,awarded,country
4251,2016-02-03,US
6269,2016-02-03,NZ
7995,2016-02-03,US
1701,2016-02-04,GB
8221,2016-03-16,AU
1828,2016-05-13,US
6886,2016-04-17,US
8777,2012-12-20,CA
5864,2016-07-12,NO
4446,2016-09-26,NO
8291,2016-09-26,ZA
591,2016-10-17,US
3278,2016-10-17,US
8623,2016-12-16,AU
8497,2016-12-16,AU
12350,2017-02-09,US
8755,2017-02-21,US
1687,2017-02-21,CA
11249,2017-02-21,IT
4422,2017-02-21,NL
5332,2017-05-08,US
10151,2017-05-08,US
13098,2017-05-08,US
13759,2017-06-05,US
9243,2017-06-05,US
10948,2017-06-05,US
5880,2017-06-05,GB
1126,2017-06-05,GB
2106,2017-06-05,NZ
7083,2017-06-05,US
4521,2017-06-05,US
3485,2017-08-28,US
4423,2017-08-28,GB
12232,2017-08-28,NL
4291,2017-08-28,GB
12356,2017-08-28,ZA
10749,2017-08-28,ZA
9333,2017-08-28,CA
8721,2017-08-28,US
5507,2017-08-28,US
5248,2017-08-28,BE
10199,2017-08-28,CA
10462,2017-08-28,GR
1806,2017-08-28,GB
11260,2018-03-12,AU
13955,2018-03-12,ET
10513,2018-03-12,DE
11653,2018-03-12,NA
10344,2018-03-12,NO
751,2018-03-12,NZ
11280,2018-03-12,NZ
11657,2018-03-12,ZA
6326,2018-03-12,GB
13563,2018-03-12,GB
13564,2018-03-12,GB
14610,2018-03-12,US
14659,2018-03-12,US
7184,2018-03-12,US
