slug,tag_name,start_date,attendance,host_name,country
2012-01-18-stsci,SWC,2012-01-18,14,Space Telescope Science Institute,US
2012-02-20-itcp,SWC,2012-02-20,50,International Centre for Theoretical Physics,IT
2012-02-23-toronto,SWC,2012-02-23,28,University of Toronto,CA
2012-03-07-indiana,SWC,2012-03-07,39,Indiana University,US
2012-03-26-mbari,SWC,2012-03-26,38,Monterey Bay Aquarium Research Institute,US
2012-03-28-nersc,SWC,2012-03-28,35,NERSC,US
2012-04-02-chicago,SWC,2012-04-02,35,University of Chicago,US
2012-04-14-utahstate,SWC,2012-04-14,32,Utah State University,US
2012-04-30-ucl,SWC,2012-04-30,44,University College London,GB
2012-05-07-michiganstate,SWC,2012-05-07,55,Michigan State University,US
2012-05-14-newcastle,SWC,2012-05-14,41,University of Newcastle,GB
2012-05-16-alberta,SWC,2012-05-16,38,University of Alberta,CA
2012-05-22-ubc,SWC,2012-05-22,39,University of British Columbia,CA
2012-06-18-jhu,SWC,2012-06-18,20,Johns Hopkins University,US
2012-06-28-inria,SWC,2012-06-28,28,INRIA (Paris),FR
2012-07-09-mit,SWC,2012-07-09,36,Massachusetts Institute of Technology,US
2012-07-10-ral,SWC,2012-07-10,24,Science & Technology Facilities Council,GB
2012-07-12-waterloo,SWC,2012-07-12,40,University of Waterloo,CA
2012-07-16-halifax,SWC,2012-07-16,40,Saint Mary's University,CA
2012-07-19-utsc,SWC,2012-07-19,39,University of Toronto (Scarborough),CA
2012-08-26-ttt-online,"TTT,online",2012-08-26,20,Software Carpentry,W3
2012-09-13-dafx,SWC,2012-09-13,33,DAFX Conference,GB
2012-09-17-oslo,SWC,2012-09-17,34,University of Oslo,NO
2012-09-28-columbia,SWC,2012-09-28,39,Columbia University,US
2012-10-08-purdue,SWC,2012-10-08,42,Purdue University,US
2012-10-11-ttt-online,"TTT,online",2012-10-11,25,Software Carpentry,W3
2012-10-17-lbl,SWC,2012-10-17,40,Lawrence Berkeley National Laboratory,US
2012-10-18-ubc,SWC,2012-10-18,62,University of British Columbia,CA
2012-10-20-ucb,SWC,2012-10-20,29,University of California Berkeley,US
2012-10-22-newcastle,SWC,2012-10-22,31,University of Newcastle,GB
2012-10-23-caltech,SWC,2012-10-23,34,California Institute of Technology,US
2012-10-25-gmu,SWC,2012-10-25,7,George Mason University,US
2012-10-30-oxford,SWC,2012-10-30,19,University of Oxford,GB
2012-11-08-mcmaster,SWC,2012-11-08,31,McMaster University,CA
2012-11-10-wustl,SWC,2012-11-10,21,Washington University in St. Louis,US
