slug,start,country,attendance,tags,count_badged
2012-08-26-ttt-online,2012-08-26,W3,21,"5,6",17
2012-10-11-ttt-online,2012-10-11,W3,25,"5,6",19
2013-01-06-ttt-online,2013-01-06,W3,12,"5,6",5
2013-03-12-ttt-online,2013-03-12,W3,27,"5,6",18
2013-05-12-ttt-online,2013-05-12,W3,45,"5,6",18
2013-08-12-ttt-online,2013-08-12,W3,41,"5,6",26
2013-09-30-ttt-online,2013-09-30,W3,57,"5,6",22
2014-01-16-ttt-online,2014-01-16,W3,67,"5,6",26
2014-04-14-ttt-pycon,2014-04-14,W3,34,"5,6",3
2014-04-24-ttt-online,2014-04-24,W3,58,"5,6",26
2014-04-28-ttt-mozilla,2014-04-28,CA,43,5,31
2014-06-05-ttt-online,2014-06-05,W3,29,"5,6",4
2014-06-11-ttt-online,2014-06-11,W3,59,"5,6",27
2014-09-10-ttt-online,2014-09-10,W3,81,"5,6",46
2014-09-22-ttt-uva,2014-09-22,W3,31,"5,6",12
2014-10-22-ttt-tgac,2014-10-22,W3,41,"5,6",22
2014-11-12-ttt-washington,2014-11-12,US,20,5,9
2015-01-06-ttt-ucdavis,2015-01-06,W3,44,"5,6",24
2015-02-01-ttt-online,2015-02-01,W3,127,"5,6",61
2015-02-11-ttt-melbourne,2015-02-11,W3,46,"5,6",42
2015-03-10-ttt-lbl,2015-03-10,W3,12,"5,6",8
2015-04-08-ttt-nih,2015-04-08,W3,17,"5,6",6
2015-05-11-ttt-compute-canada,2015-05-11,CA,22,5,16
2015-05-27-ttt-msu,2015-05-27,US,26,5,10
2015-06-08-ttt-online,2015-06-08,W3,23,"5,6",12
2015-06-12-ttt-iplant,2015-06-12,US,26,"5,6",12
2015-06-16-ttt-aciref,2015-06-16,US,24,5,12
2015-09-08-ttt-online,2015-09-08,W3,18,"5,6",9
2015-09-14-ttt-leeds,2015-09-14,GB,18,5,11
2015-09-21-ttt-icl,2015-09-21,GB,14,5,4
2015-10-08-ttt-ucl,2015-10-08,GB,18,5,8
2015-10-15-ttt-online,2015-10-15,W3,48,"5,6",39
2015-10-25-instructortraining-cracov,2015-10-25,PL,13,5,3
2015-11-23-instructor-training-manchester,2015-11-23,GB,25,5,13
2015-12-07-eu-instructor-training,2015-12-07,W3,15,"5,6",15
2015-12-07-na-instructor-training,2015-12-07,W3,22,"5,6",15
2015-12-07-ttt-Au,2015-12-07,W3,4,"5,6",3
2015-12-07-ttt-toronto,2015-12-07,W3,17,"5,6",16
2016-01-05-ok-instructor-training,2016-01-05,US,19,5,7
2016-01-13-instructor-training-lausanne,2016-01-13,CH,20,5,17
2016-01-18-brisbane-instructor-training,2016-01-18,AU,25,5,18
2016-01-21-melbourne-instructor-training,2016-01-21,AU,27,5,10
2016-01-21-training-florida,2016-01-21,US,25,5,16
2016-01-28-auckland-instructor-training,2016-01-28,NZ,20,5,16
2016-02-16-training-online,2016-02-16,W3,27,"5,6",11
2016-02-22-training-ucdavis,2016-02-22,US,25,5,16
2016-03-09-ttt-uw,2016-03-09,US,14,5,10
2016-04-13-training-online,2016-04-13,W3,33,"5,6",16
2016-04-17-instructor-training-nwu,2016-04-17,ZA,23,5,11
2016-05-04-instructor-training-ssi,2016-05-04,GB,15,5,6
2016-05-11-ttt-compute-canada,2016-05-11,CA,27,5,21
2016-05-18-ttt-online,2016-05-18,W3,23,"5,6",11
