p,c,min(awarded)
410,NZ,2015-02-27
751,NZ,2015-03-25
815,NZ,2015-03-25
2106,NZ,2013-11-17
2737,NZ,2016-08-16
3137,NZ,2015-03-25
3553,NZ,2015-03-05
3923,NZ,2015-02-27
4587,NZ,2014-12-11
5268,NZ,2015-03-05
5389,NZ,2015-03-05
6269,NZ,2013-07-20
6969,NZ,2015-02-27
9103,NZ,2015-04-20
9418,NZ,2016-05-26
9419,NZ,2016-03-01
10187,NZ,2016-03-01
11280,NZ,2016-04-19
11282,NZ,2016-05-26
11286,NZ,2016-06-29
11287,NZ,2016-06-29
11289,NZ,2016-06-30
11293,NZ,2016-03-01
11294,NZ,2016-04-25
11295,NZ,2016-04-25
11297,NZ,2016-06-07
11298,NZ,2016-04-21
11520,NZ,2018-12-11
11613,NZ,2017-06-01
11614,NZ,2018-09-21
12038,NZ,2017-03-08
12091,NZ,2017-06-01
12109,NZ,2017-07-14
12223,NZ,2017-06-01
12874,NZ,2017-05-04
13108,NZ,2017-05-10
13149,NZ,2018-02-15
13150,NZ,2017-06-07
13152,NZ,2017-04-17
13153,NZ,2017-04-06
13158,NZ,2017-09-07
13163,NZ,2017-04-12
13167,NZ,2017-04-06
14619,NZ,2017-10-20
16062,NZ,2018-05-23
16856,NZ,2019-03-04
16972,NZ,2018-11-13
16973,NZ,2019-02-01
16974,NZ,2019-01-02
16989,NZ,2018-10-25
