site_id,unique_id,genus,species,common_name,individual,canopy_ht1,canopy_ht2,canopy_ht3,canopy_ht4 ,canopy_ht5,avg_canopy_ht,num_shots_or_samples,yr,mo,dy,aop_plot,initials,punch_diameter,punch_scan_count,mass_count,total_sample_mass,mass_per_punch_leaf,total_sample_area,average_punch_leaf_area,mass_per_area,species_code,plant_type,wyo_sample_id,fifteenN,thirteenC,totalN,totalC,notes,plot_id,plant_group
SJER,2796-F099,Quercus,douglasi,California foothill pine,F099,4.8,5.7,6.2,,,5.5,3,2013,6,19,2796,BC; MO,1.27,30,30,0.5341,0.0178,38.00306093,1.2668,0.0141,PISA2,Tree,20130263.1,-2.4,-26.9,2.1,45.4,,,
SJER,2796-F100,Quercus,douglasi,California foothill pine,F100,5.4,4.3,5.2,,,5,3,2013,6,19,2796,BC; MO,1.27,30,30,0.4782,0.0159,38.00306093,1.2668,0.0126,PISA2,Tree,20130263.1,-1.7,-27.4,1.7,45.2,,,
SJER,2796-F000,Quercus,douglasi,California foothill pine,F000,4.8,5.2,5.8,,,5.2,3,2013,6,19,2796,BC; MO,1.27,28,28,0.594,0.0212,35.46952354,1.2668,0.0167,PISA2,Tree,20130263.1,-1.8,-28.1,1.8,45.3,F101 already taken by soaproot samples last Saturday jun 15. ,,
SJER,2796-F096,Ceanothus,leucodermis,chaparral whitethorn,F096,2.4,2.7,1.9,,,2.3,3,2013,6,19,2796,BC; MO,,10,10,0.2907,0.0291,17.10741,1.7107,0.017,CELE2,Shrub,20130263.1,-1,-25.7,1.6,48.2,,,
SJER,2796-F097,Ceanothus,leucodermis,chaparral whitethorn,F097,3.1,2,2.7,,,2.6,3,2013,6,19,2796,BC; MO,,10,10,0.243,0.0243,18.97169,1.8972,0.0128,CELE2,Shrub,20130263.1,-1,-26.7,1.3,47.7,,,
SJER,2796-F098,Ceanothus,leucodermis,chaparral whitethorn,F098,2.4,1.5,1.8,,,1.9,3,2013,6,19,2796,BC; MO,,10,10,0.2207,0.0221,15.94528,1.5945,0.0138,CELE2,Shrub,20130263.1,-1.2,-26.9,1.5,47.8,,,
SJER,2796-F093,Arctostaphylos,viscida,sticky whiteleaf manzanita,F093,2.2,3.3,2.3,,,2.6,3,2013,6,19,2796,BC; MO,1.27,25,25,1.0522,0.0421,31.66921744,1.2668,0.0332,ARVI4,Tree; Shrub,20130263.09,-4.1,-27.6,0.7,49.9,,,
SJER,2796-F094,Arctostaphylos,viscida,sticky whiteleaf manzanita,F094,2.2,1.8,1.6,,,1.9,3,2013,6,19,2796,BC; MO,1.27,24,24,1.2875,0.0536,30.40244875,1.2668,0.0423,ARVI4,Tree; Shrub,20130263.09,-3.6,-27.5,0.7,50.3,,,
SJER,2796-F095,Arctostaphylos,viscida,sticky whiteleaf manzanita,F095,1,2.1,1.6,,,1.6,3,2013,6,19,2796,BC; MO,1.27,28,28,1.2142,0.0434,35.46952354,1.2668,0.0342,ARVI4,Tree; Shrub,20130263.1,-1.2,-27.7,0.6,48.4,,,
SJER,1068-F077,Ceanothus,cuneatus,buckbrush,F077,1.7,1.9,2.3,,,1.9,3,2013,6,18,1068,BC,,10,10,0.2084,0.0208,8.43875,0.8439,0.0247,CECU,Shrub,20130263.08,-1.4,-26.1,1.6,47.9,,,
SJER,1068-F078,Ceanothus,cuneatus,buckbrush,F078,1.5,1.8,1.8,,,1.7,3,2013,6,18,1068,BC,,10,10,0.2324,0.0232,8.26648,0.8266,0.0281,CECU,Shrub,20130263.08,-0.8,-25.2,1.3,48.4,,,
SJER,1068-F079,Ceanothus,cuneatus,buckbrush,F079,2.2,2,2.1,,,2.1,3,2013,6,18,1068,BC,,10,10,0.2066,0.0207,7.81332,0.7813,0.0264,CECU,Shrub,20130263.08,-1.4,-25.8,1.3,47.7,,,
SJER,1068-F082,Pinus,sabiana,California foothill pine,F082,5.7,4.7,4.8,,,5.1,3,2013,6,18,1068,BC,,10,10,0.7915,0.0792,27.51271,2.7513,0.0288,PISA2,Tree,20130263.08,-1.8,-24.4,1.5,48.8,,,
SJER,1068-F083,Pinus,sabiana,California foothill pine,F083,6.6,4.6,,,,5.6,2,2013,6,18,1068,BC,,10,10,0.6973,0.0697,21.72322,2.1723,0.0321,PISA2,Tree,20130263.08,-1.9,-25.3,1.7,49.7,,,
SJER,1068-F074,Ceanothus,leucodermis,chaparral whitethorn,F074,1.9,1.7,1.8,,,1.8,3,2013,6,18,1068,BC,1.27,20,20,0.3431,0.0172,25.33537395,1.2668,0.0135,CELE2,Shrub,20130263.07,-1.2,-26.6,1.5,47.2,,,
SJER,1068-F075,Ceanothus,leucodermis,chaparral whitethorn,F075,1.5,1.3,1.7,,,1.5,3,2013,6,18,1068,BC,1.27,20,20,0.3683,0.0184,25.33537395,1.2668,0.0145,CELE2,Shrub,20130263.08,-1.3,-27.6,1.4,47.6,,,
SJER,1068-F076,Ceanothus,leucodermis,chaparral whitethorn,F076,1.6,2.1,2.3,,,2,3,2013,6,18,1068,BC,1.27,16,16,0.3005,0.0188,20.26829916,1.2668,0.0148,CELE2,Shrub,20130263.08,-1,-25.3,1.5,47.9,,,
SJER,1068-F080,Rhamus ,ilicifolia,hollyleaf redberry,F080,2.2,1.6,2,,,1.9,3,2013,6,18,1068,BC,1.27,20,19,0.4356,0.0229,24.06860526,1.2668,0.0181,RHIL,Shrub;Tree,20130263.08,-0.3,-26.5,1.7,46.1,berries on shrub,,
SJER,1068-F081,Rhamus ,ilicifolia,hollyleaf redberry,F081,1,2.2,1.9,,,1.7,3,2013,6,18,1068,BC,1.27,15,15,0.3072,0.0205,19.00153047,1.2668,0.0162,RHIL,Shrub;Tree,20130263.08,-1.2,-28.8,1.2,45.8,berries removed from sample,,
SJER,1068-F084,Rhamus ,ilicifolia,hollyleaf redberry,F084,2.8,2.1,2,,,2.3,3,2013,6,18,1068,BC,1.27,25,25,0.4687,0.0187,31.66921744,1.2668,0.0148,RHIL,Shrub;Tree,20130263.08,-1.2,-28.9,1.4,45.5,berries removed,,
SJER,952-F069,Lupinus ,albifrons,silver lupine,F069,1.6,1.6,1.2,,,1.5,3,2013,6,18,952,BC,,10,10,0.0655,0.0066,3.25756,0.3258,0.0201,LUAL4,Subshrub; Shrub,20130263.07,-0.1,-28.8,2.4,34.9,,,
SJER,952-F070,Lupinus ,albifrons,silver lupine,F070,1.2,1.1,0.8,,,1,3,2013,6,18,952,BC,,10,10,0.088,0.0088,5.84444,0.5844,0.0151,LUAL4,Subshrub; Shrub,20130263.07,0.2,-29.3,2,33.3,,,
SJER,952-F071,Lupinus ,albifrons,silver lupine,F071,1.5,1.6,1.3,,,1.5,3,2013,6,18,952,BC,,10,10,0.0629,0.0063,4.02025,0.402,0.0156,LUAL4,Subshrub; Shrub,20130263.07,1.6,-27.5,2.2,34.4,,,
SJER,952-F072,Lupinus ,albifrons,silver lupine,F072,1.6,1.4,1.2,,,1.4,3,2013,6,18,952,BC,,10,10,0.0789,0.0079,4.28413,0.4284,0.0184,LUAL4,Subshrub; Shrub,20130263.07,0.4,-28,2.2,34.1,,,
SJER,952-F073,Lupinus ,albifrons,silver lupine,F073,1.2,0.9,0.8,,,1,3,2013,6,18,952,BC,,10,10,0.0781,0.0078,4.0652,0.4065,0.0192,LUAL4,Subshrub; Shrub,20130263.07,0.9,-29.6,2.2,45.7,,,
SJER,916-F001,Ceanothus,leucodermis,chaparral whitethorn,F001,2.4,1.6,1.7,2.1,,1.9,4,2013,6,10,916,BC; MO,,10,10,0.2198,0.022,9.98455,0.9985,0.022,CELE2,shrub,20130263,-2.3,-26.4,1.3,45.5,,,
SJER,916-F002,Ceanothus,leucodermis,chaparral whitethorn,F002,0.9,0.8,0.7,0.8,,0.8,4,2013,6,10,916,BC; MO,,10,10,0.3229,0.0323,12.49795,1.2498,0.0258,CELE2,shrub,20130263,-1.5,-27.4,1.4,45.7,,,
SJER,916-F003,Ceanothus,leucodermis,chaparral whitethorn,F003,2.2,1.6,1.5,1.6,,1.7,4,2013,6,10,916,BC; MO,,10,10,0.2855,0.0286,11.05259,1.1053,0.0258,CELE2,shrub,20130263,-2.6,-26.4,1.3,46.2,,,
SJER,916-F004,Ceanothus,leucodermis,chaparral whitethorn,F004,1.1,1,1.3,1.1,,1.1,4,2013,6,10,916,BC; MO,,10,10,0.1489,0.0149,5.2193,0.5219,0.0285,CELE2,shrub,20130263,-2.2,-27.5,1.1,45.5,,,
SJER,916-F005,Ceanothus,leucodermis,chaparral whitethorn,F005,0.7,1.1,0.6,0.7,,0.7,4,2013,6,10,916,BC; MO,,10,10,0.2108,0.0211,8.42574,0.8426,0.025,CELE2,shrub,20130263.01,-2.1,-28.1,1.1,45.1,,,
SJER,824-F047,Ceanothus,leucodermis,chaparral whitethorn,F047,2.1,1.7,1.9,,,1.9,3,2013,6,17,824,BC,1.27,16,16,0.2833,0.0177,20.26829916,1.2668,0.014,CELE2,Shrub,20130263.05,-1.7,-26.7,1.6,45.7,Only individual in plot. Not dominant but I thought it woth sampling for speices diversity,,
SJER,824-F042,Quercus ,wislizeni,interior live oak,F042,4.8,4.5,5,,,4.8,3,2013,6,17,824,BC,,10,10,0.2322,0.0232,14.83389,1.4834,0.0157,QUWI2,Tree; Shrub,20130263.04,-2.6,-24.6,1.5,45.4,New pole trimmers used at this plot,,
SJER,824-F043,Quercus ,wislizeni,interior live oak,F043,2.3,2.7,2.1,,,2.4,3,2013,6,17,824,BC,,10,10,0.1872,0.0187,12.58373,1.2584,0.0149,QUWI2,Tree; Shrub,20130263.04,-2.4,-24.6,1.7,45.6,shrubby less than 4m tall,,
SJER,824-F044,Quercus ,wislizeni,interior live oak,F044,4.7,2.9,5.1,,,4.2,3,2013,6,17,824,BC,1.27,22,22,0.4833,0.022,27.86891135,1.2668,0.0173,QUWI2,Tree; Shrub,20130263.04,-2,-26.8,1.5,45.4,,,
