siteid,sitename,plotid,easting,northing,taxonid,scientificname,indvidual_id,pointid,individualdistance,individualazimuth,dbh,dbhheight,basalcanopydiam,basalcanopydiam_90deg,maxcanopydiam,canopydiam_90deg,stemheight,stemremarks,stemstatus,canopyform,livingcanopy,inplotcanopy,materialsampleid,dbhqf,stemmapqf,plant_group,common_name,aop_plot,unique_id
SJER,San Joaquin,SJER128,257085.7,4111381.5,PISA2,Pinus sabiniana,1485,center,9.7,135.6,67.4,130,0,0,15.1,12.4,18.2,,,,100,100,,0,0,,,,
SJER,San Joaquin,SJER2796,256047.7,4111548.5,ARVI4,Arctostaphylos viscida,1622,NE,5.8,31.4,,130,43,31,5.7,4.8,3.3,3 stems,,Hemisphere,70,100,f095,0,0,,,,
SJER,San Joaquin,SJER272,256722.9,4112170.2,ARVI4,Arctostaphylos viscida,1427,center,6,65.9,,130,23,14,5.9,4.3,1.7,2 stems,,Hemisphere,35,100,,0,0,,,,
SJER,San Joaquin,SJER112,257421.4,4111308.2,ARVI4,Arctostaphylos viscida,1511,center,17.2,57.1,,130,22,12,2.5,2.1,2.1,6 stems,,Sphere,70,100,f035,0,0,,,,
SJER,San Joaquin,SJER272,256720.5,4112177.2,ARVI4,Arctostaphylos viscida,1431,center,9.9,17.7,17.1,10,0,0,5.2,4.6,3,,,Sphere,80,100,f087,0,0,,,,
SJER,San Joaquin,SJER112,257406.2,4111284,ARVI4,Arctostaphylos viscida,1507,center,15.1,183,,130,105,43,8.5,6.1,3.1,3 stems; old growth,,Hemisphere,85,100,f034,0,0,,,,
SJER,San Joaquin,SJER272,256714,4112173.5,ARVI4,Arctostaphylos viscida,1433,center,6.8,329.5,,130,107,66,3.3,2.5,1.7,3 stems,long dead,Hemisphere,0,100,,0,0,,,,
SJER,San Joaquin,SJER2796,256052,4111530,ARVI4,Arctostaphylos viscida,1620,SE,10.5,52.6,18.6,1,0,0,6.5,5.2,3.8,,,Hemisphere,85,100,f093,0,0,,,,
SJER,San Joaquin,SJER272,256719.8,4112169,ARVI4,Arctostaphylos viscida,1425,center,2.6,65.6,,130,73,66,3.3,2.1,1.4,4 stems,,Hemisphere,85,100,f086,0,0,,,,
SJER,San Joaquin,SJER112,257398.7,4111285.5,ARVI4,Arctostaphylos viscida,1506,center,15.9,211.3,,130,495,126,7.5,6.9,3.1,basal area crazy bc stems spread along ground and root away from main basal before branching aerially. main basal 55x90cm,,Hemisphere,55,100,f033,0,0,,,,
SJER,San Joaquin,SJER272,256718.6,4112173.5,ARVI4,Arctostaphylos viscida,1426,center,5.8,11.4,,130,30,12,2.5,2.9,1.7,3 stems,,Hemisphere,60,100,,0,0,,,,
SJER,San Joaquin,SJER272,256702,4112160.5,ARVI4,Arctostaphylos viscida,1435,center,17.1,244.5,,130,62,41,5.1,4.3,2.7,8 stems,,Sphere,70,100,f085,0,0,,,,
SJER,San Joaquin,SJER1068,255857.6,4111576.5,CECU,Ceanothus cuneatus,1639,center,10,31.2,,130,152,138,6.6,4.5,3.2,11 stems. crazy old cecu where stems collapsed and sprouted along ground,,Hemisphere,60,100,,0,0,,,,
SJER,San Joaquin,SJER916,257455.3,4109618.2,CECU,Ceanothus cuneatus,1560,center,5.4,285.9,6.2,0,0,0,1.3,1,1.2,,,Cone,90,100,f005,1,0,,,,
SJER,San Joaquin,SJER361,256954.8,4107528,CECU,Ceanothus cuneatus,1370,center,7.1,278.4,6.1,0,0,0,1.4,1.3,1.7,,,Cone,90,100,,1,0,,,,
SJER,San Joaquin,SJER1068,255862,4111575.2,CECU,Ceanothus cuneatus,1638,NE,2.6,194.5,9.3,1,0,0,2.2,2.2,2.1,,,Cone,100,100,f078,0,0,,,,
SJER,San Joaquin,SJER361,256948.5,4107522.2,CECU,Ceanothus cuneatus,1373,SW,6.1,327.7,,130,104,29,4.9,4.6,2.9,8 stems,,Hemisphere,80,100,f022,0,0,,,,
SJER,San Joaquin,SJER3239,258503.4,4109866.5,CECU,Ceanothus cuneatus,1599,NE,3.7,269.8,6.5,10,0,0,3,2.4,2,crazy stem growing along ground and sprouting,,Hemisphere,70,100,,0,0,,,,
SJER,San Joaquin,SJER361,256967.8,4107520,CECU,Ceanothus cuneatus,1358,center,9.2,139.6,,130,48,37,3.6,2.4,2.1,8 stems,,Hemisphere,40,100,,0,0,,,,
SJER,San Joaquin,SJER361,256959.7,4107517.2,CECU,Ceanothus cuneatus,1372,center,10,192.3,,130,39,22,4.1,4,2.6,4 stems,,Sphere,90,100,f019,0,0,,,,
SJER,San Joaquin,SJER361,256965.3,4107526.2,CECU,Ceanothus cuneatus,1354,center,3.6,102.6,,130,216,87,4.1,3.2,2.1,20 stems some run just below surface and resprout,,Hemisphere,85,100,,0,0,,,,
SJER,San Joaquin,SJER361,256969.4,4107523.2,CECU,Ceanothus cuneatus,1356,center,8.5,116.3,,130,0,0,1.8,1.4,2.3,f020,,Cone,100,100,,0,0,,,,
SJER,San Joaquin,SJER361,256956,4107523.2,CECU,Ceanothus cuneatus,1348,SW,7.5,34.4,,130,100,50,4.7,4.2,2.4,14 stems,,Sphere,90,100,,0,0,,,,
SJER,San Joaquin,SJER3239,258503.1,4109864.8,CECU,Ceanothus cuneatus,1598,NE,4.4,245.3,8,1,0,0,1,0.8,2.9,,,Cylinder,80,100,,0,0,,,,
SJER,San Joaquin,SJER361,256961.8,4107525.8,CECU,Ceanothus cuneatus,1353,center,1.4,179.7,9.2,0,0,0,1.4,1.3,2,,,Cone,95,100,,1,0,,,,
SJER,San Joaquin,SJER361,256967.3,4107536.5,CECU,Ceanothus cuneatus,1364,center,10.9,30.4,,130,18,11,1.1,0.4,1,2 stems; broken by fallen pine,dead,Hemisphere,0,100,,0,0,,,,
SJER,San Joaquin,SJER128,257072.3,4111389,CECU,Ceanothus cuneatus,1492,center,6.6,273.7,5,2,0,0,0.8,0.8,1,,grazed,Cone,90,100,,0,0,,,,
SJER,San Joaquin,SJER361,256955.5,4107531.2,CECU,Ceanothus cuneatus,1371,NW,6.9,147.8,,130,112,57,4.2,3.8,2.7,14 stems,,Hemisphere,100,100,,0,0,,,,
SJER,San Joaquin,SJER361,256956.3,4107527.2,CECU,Ceanothus cuneatus,1369,center,5.5,272.8,4.2,0,0,0,0.7,0.7,1.3,,,Cone,100,100,,1,0,,,,
SJER,San Joaquin,SJER361,256958.3,4107525,CECU,Ceanothus cuneatus,1349,center,4.1,238.7,3.4,10,0,0,0.6,0.6,1.3,,,Cone,95,100,,0,0,,,,
SJER,San Joaquin,SJER361,256955.5,4107522,CECU,Ceanothus cuneatus,1347,SW,6.2,37,8.5,10,0,0,2.3,2.1,2.6,,,Cone,95,100,,0,0,,,,
SJER,San Joaquin,SJER3239,258490.4,4109862.8,CECU,Ceanothus cuneatus,1606,center,8.8,310.3,6.9,1,0,0,1.2,0.8,1.4,,,Cone,95,100,,0,0,,,,
SJER,San Joaquin,SJER3239,258493.1,4109864.5,CECU,Ceanothus cuneatus,1605,center,8.5,331.8,4,1,0,0,0.9,0.8,1,,,Cone,100,100,,0,0,,,,
SJER,San Joaquin,SJER361,256957.7,4107529.2,CECU,Ceanothus cuneatus,1368,center,4.6,297.3,,130,73,62,4.8,4.7,2.6,,,Hemisphere,85,100,,0,0,,,,
SJER,San Joaquin,SJER128,257086.9,4111390,CECU,Ceanothus cuneatus,1486,center,8.2,79.4,,130,43,37,5.8,5.1,3.4,8 stems,,Sphere,60,100,,0,0,,,,
SJER,San Joaquin,SJER1068,255862.5,4111572.5,CECU,Ceanothus cuneatus,1637,NE,5.1,181.7,,130,12,12,1.5,1.5,1.7,5 stems,,Cone,100,100,,0,0,,,,
SJER,San Joaquin,SJER361,256958.6,4107526,CECU,Ceanothus cuneatus,1350,center,3.4,252,8.4,130,0,0,1.7,1.2,2.3,,,Cone,100,100,,0,0,,,,
SJER,San Joaquin,SJER916,257466.8,4109614.2,CECU,Ceanothus cuneatus,1556,center,6.8,111.7,,130,102,48,5.9,4.2,2.8,6 stems,,Hemisphere,90,100,f001,0,0,,,,
SJER,San Joaquin,SJER361,256960.3,4107526,CECU,Ceanothus cuneatus,1351,center,1.8,238.8,6.4,0,0,0,1.6,1.3,2.1,,,Cone,100,100,,1,0,,,,
SJER,San Joaquin,SJER361,256961,4107528,CECU,Ceanothus cuneatus,1367,center,1.2,318.1,,130,15,7,1.7,1.6,1.9,2 stems,,Cone,100,100,f361,0,0,,,,
SJER,San Joaquin,SJER916,257458.9,4109617.2,CECU,Ceanothus cuneatus,1559,center,1.7,290.9,3.1,0,0,0,0.6,0.6,0.6,,,Cone,100,100,,1,0,,,,
SJER,San Joaquin,SJER916,257468.7,4109626,CECU,Ceanothus cuneatus,1558,center,12.4,41.4,,130,53,53,5.6,3.2,1,9 stems,long dead,Hemisphere,0,100,,0,0,,,,
SJER,San Joaquin,SJER361,256969.8,4107528.8,CECU,Ceanothus cuneatus,1363,center,8.2,77.7,,130,44,35,2.9,2.1,1.9,3 stems,,Hemisphere,60,100,,0,0,,,,
SJER,San Joaquin,SJER3239,258504.7,4109866.5,CECU,Ceanothus cuneatus,1601,NE,2.4,264.9,,130,18,12,2.6,2.5,3.1,2 stems,,Sphere,100,100,,0,0,,,,
SJER,San Joaquin,SJER3239,258502.9,4109866,CECU,Ceanothus cuneatus,1600,NE,4.2,261.7,,130,23,14,2.7,2.6,2.1,3 stems,,Cone,50,100,,0,0,,,,
SJER,San Joaquin,SJER3239,258500.9,4109863.5,CECU,Ceanothus cuneatus,1603,NE,7,243,11.5,1,0,0,5,2.7,2.7,,,Cone,70,100,,0,0,,,,
