siteid,sitename,plotid,easting,northing,taxonid,scientificname,stemheight
SOAP,Soaproot Saddle,SOAP43,297065,4100725.5,ABCO,Abies concolor,34.5
SOAP,Soaproot Saddle,SOAP43,297069.7,4100722.5,ABCO,Abies concolor,13
SOAP,Soaproot Saddle,SOAP43,297056.1,4100722.2,ABCO,Abies concolor,3.8
SOAP,Soaproot Saddle,SOAP43,297067.2,4100719,ABCO,Abies concolor,0.6
SOAP,Soaproot Saddle,SOAP43,297057.4,4100728.8,ABCO,Abies concolor,3.4
SOAP,Soaproot Saddle,SOAP43,297056.4,4100721.5,ABCO,Abies concolor,3
SOAP,Soaproot Saddle,SOAP331,297055.8,4100607,ABCO,Abies concolor,1.4
SOAP,Soaproot Saddle,SOAP43,297057.1,4100730,ABCO,Abies concolor,3.1
SOAP,Soaproot Saddle,SOAP331,297061.1,4100600.2,ABCO,Abies concolor,0.5
SOAP,Soaproot Saddle,SOAP331,297051.7,4100603.5,ABCO,Abies concolor,5
SOAP,Soaproot Saddle,SOAP331,297058.9,4100595,ABCO,Abies concolor,1.2
SOAP,Soaproot Saddle,SOAP331,297049.9,4100605.5,AMUT,Amelanchier utahensis,2
SOAP,Soaproot Saddle,SOAP331,297044,4100604,AMUT,Amelanchier utahensis,3.2
SOAP,Soaproot Saddle,SOAP139,297058,4100095.5,ARVI4,Arctostaphylos viscida,1.4
SOAP,Soaproot Saddle,SOAP1343,299603.9,4100964.5,ARVI4,Arctostaphylos viscida,1.4
SOAP,Soaproot Saddle,SOAP143,299852.8,4100426,ARVI4,Arctostaphylos viscida,2
SOAP,Soaproot Saddle,SOAP63,299813.7,4101028,ARVI4,Arctostaphylos viscida,1.3
SOAP,Soaproot Saddle,SOAP1563,297710.6,4101224,ARVI4,Arctostaphylos viscida,1.2
SOAP,Soaproot Saddle,SOAP1695,299178,4100962,ARVI4,Arctostaphylos viscida,2
SOAP,Soaproot Saddle,SOAP255,300147.4,4101377.8,ARVI4,Arctostaphylos viscida,2.4
SOAP,Soaproot Saddle,SOAP143,299849.6,4100424.8,ARVI4,Arctostaphylos viscida,0.9
SOAP,Soaproot Saddle,SOAP1695,299177.4,4100959.2,ARVI4,Arctostaphylos viscida,2.6
SOAP,Soaproot Saddle,SOAP1611,297435.7,4100582.2,ARVI4,Arctostaphylos viscida,1.4
SOAP,Soaproot Saddle,SOAP283,297780,4101205.5,ARVI4,Arctostaphylos viscida,2.3
SOAP,Soaproot Saddle,SOAP143,299836.6,4100409.5,ARVI4,Arctostaphylos viscida,1.3
SOAP,Soaproot Saddle,SOAP1695,299176.4,4100957.8,ARVI4,Arctostaphylos viscida,1
SOAP,Soaproot Saddle,SOAP139,297036.6,4100086.8,ARVI4,Arctostaphylos viscida,1.1
SOAP,Soaproot Saddle,SOAP139,297053.3,4100101.2,ARVI4,Arctostaphylos viscida,1.1
SOAP,Soaproot Saddle,SOAP1515,297516,4101247.8,ARVI4,Arctostaphylos viscida,2.3
SOAP,Soaproot Saddle,SOAP1343,299606,4100965.5,ARVI4,Arctostaphylos viscida,0.9
SOAP,Soaproot Saddle,SOAP1695,299175.4,4100962.5,ARVI4,Arctostaphylos viscida,0.9
SOAP,Soaproot Saddle,SOAP143,299839.6,4100420.2,ARVI4,Arctostaphylos viscida,0.8
SOAP,Soaproot Saddle,SOAP143,299850.2,4100426.5,ARVI4,Arctostaphylos viscida,0.9
SOAP,Soaproot Saddle,SOAP1515,297513,4101264.2,ARVI4,Arctostaphylos viscida,2.1
SOAP,Soaproot Saddle,SOAP143,299852.9,4100423,ARVI4,Arctostaphylos viscida,2.7
SOAP,Soaproot Saddle,SOAP139,297036.6,4100085,ARVI4,Arctostaphylos viscida,1.5
SOAP,Soaproot Saddle,SOAP63,299823.2,4101019.5,ARVI4,Arctostaphylos viscida,2.5
SOAP,Soaproot Saddle,SOAP1563,297704.6,4101217,ARVI4,Arctostaphylos viscida,1.9
SOAP,Soaproot Saddle,SOAP1563,297698.6,4101215.5,ARVI4,Arctostaphylos viscida,0.8
SOAP,Soaproot Saddle,SOAP1343,299606.6,4100963,ARVI4,Arctostaphylos viscida,2.4
SOAP,Soaproot Saddle,SOAP1611,297437.6,4100577.5,ARVI4,Arctostaphylos viscida,1.3
SOAP,Soaproot Saddle,SOAP223,299303.3,4101465,ARVI4,Arctostaphylos viscida,1.2
SOAP,Soaproot Saddle,SOAP283,297768.2,4101213,ARVI4,Arctostaphylos viscida,1.8
SOAP,Soaproot Saddle,SOAP139,297048.7,4100102,ARVI4,Arctostaphylos viscida,2.2
SOAP,Soaproot Saddle,SOAP1563,297692.6,4101232,ARVI4,Arctostaphylos viscida,0
SOAP,Soaproot Saddle,SOAP1695,299177.8,4100960,ARVI4,Arctostaphylos viscida,2.3
SOAP,Soaproot Saddle,SOAP223,299295.9,4101475.5,ARVI4,Arctostaphylos viscida,1.5
SOAP,Soaproot Saddle,SOAP143,299834.8,4100412.2,ARVI4,Arctostaphylos viscida,1
SOAP,Soaproot Saddle,SOAP1563,297702.9,4101217,ARVI4,Arctostaphylos viscida,1.7
SOAP,Soaproot Saddle,SOAP143,299838.7,4100410,ARVI4,Arctostaphylos viscida,0.6
SOAP,Soaproot Saddle,SOAP255,300146.1,4101384,ARVI4,Arctostaphylos viscida,1.6
